cust_id,age,gender,city,loyalty_segment,preferred_channel,registration_date
CUST00044,26,Female,Sialkot,Bronze,In-Store,2017-09-29
CUST00045,50,Male,Islamabad,Silver,Mobile App,2020-06-02
CUST00046,36,Male,Karachi,Bronze,Online,2024-03-13
CUST00047,45,Male,Islamabad,Silver,In-Store,2017-05-04
CUST00048,53,Other,Karachi,Bronze,Online,2020-01-25
CUST00049,48,Male,Rawalpindi,Bronze,In-Store,2019-01-30
CUST00050,20,Male,Karachi,Silver,In-Store,2018-01-10
CUST00051,36,Male,Gujranwala,Silver,In-Store,2019-09-15
CUST00052,51,Female,Multan,Silver,Online,2016-04-29
CUST00053,44,Female,Karachi,Platinum,In-Store,2020-09-26
CUST00054,40,Female,Peshawar,Bronze,Online,2017-01-08
CUST00055,18,Male,Sargodha,Silver,In-Store,2018-01-08
CUST00056,29,Female,Karachi,Gold,In-Store,2018-08-29
CUST00057,38,Male,Islamabad,Silver,In-Store,2020-04-15
CUST00058,19,Female,Sukkur,Gold,In-Store,2015-04-28
CUST00059,48,Female,Karachi,Silver,Mobile App,2015-05-18
CUST00060,36,Male,Bahawalpur,Bronze,Online,2025-09-08
CUST00061,18,Female,Abbottabad,Platinum,In-Store,2025-09-25
CUST00062,30,Male,Islamabad,Bronze,Online,2021-01-05
CUST00063,34,Male,Rawalpindi,Silver,In-Store,2015-12-28
CUST00064,36,Male,Abbottabad,Silver,In-Store,2024-01-22
CUST00065,56,Male,Karachi,Silver,In-Store,2024-03-16
CUST00066,45,Male,Islamabad,Silver,Online,2019-11-04
CUST00067,20,Male,Karachi,Silver,In-Store,2016-03-09
CUST00068,18,Female,Sialkot,Silver,Online,2025-07-15
CUST00069,34,Female,Peshawar,Silver,In-Store,2025-02-14
CUST00070,39,Female,Hyderabad,Silver,In-Store,2019-08-30
CUST00071,50,Male,Lahore,Bronze,Online,2019-05-31
CUST00072,60,Female,Faisalabad,Gold,Mobile App,2019-05-20
CUST00073,61,Female,Quetta,Platinum,In-Store,2021-02-03
CUST00074,32,Male,Lahore,Bronze,Online,2023-01-01
CUST00075,50,Female,Sukkur,Bronze,In-Store,2020-07-31
CUST00076,43,Female,Lahore,Platinum,In-Store,2021-03-10
CUST00077,23,Female,Karachi,Silver,In-Store,2021-04-23
CUST00078,18,Male,Lahore,Silver,In-Store,2018-05-15
CUST00079,39,Male,Gujranwala,Silver,Online,2021-10-17
CUST00080,18,Male,Quetta,Silver,Online,2015-01-05
CUST00081,26,Female,Sukkur,Bronze,In-Store,2019-04-14
CUST00082,29,Female,Multan,Gold,In-Store,2016-05-11
CUST00083,40,Male,Bahawalpur,Silver,In-Store,2018-07-03
CUST00084,54,Male,Faisalabad,Silver,In-Store,2017-11-11
CUST00085,38,Male,Bahawalpur,Silver,In-Store,2015-01-19
CUST00086,30,Female,Sukkur,Platinum,In-Store,2016-03-07
CUST00087,18,Male,Rawalpindi,Gold,In-Store,2024-06-17
CUST00088,43,Male,Karachi,Bronze,In-Store,2020-09-08
CUST00089,38,Female,Abbottabad,Bronze,In-Store,2022-10-29
CUST00090,30,Male,Faisalabad,Bronze,In-Store,2018-09-21
CUST00091,53,Female,Sialkot,Platinum,In-Store,2015-09-24
CUST00092,22,Male,Rawalpindi,Bronze,Online,2022-09-11
CUST00093,29,Female,Islamabad,Gold,In-Store,2019-09-24
CUST00094,34,Female,Islamabad,Silver,Online,2020-03-21
CUST00095,30,Male,Islamabad,Gold,Online,2016-03-01
CUST00096,45,Male,Multan,Silver,In-Store,2017-04-27
CUST00097,44,Female,Gujranwala,Bronze,In-Store,2021-05-30
CUST00098,51,Female,Multan,Silver,Online,2019-10-31
CUST00099,44,Male,Faisalabad,Bronze,In-Store,2021-09-06
CUST00100,36,Female,Islamabad,Bronze,Online,2023-01-06
CUST00101,33,Male,Rawalpindi,Bronze,Online,2020-07-07
CUST00102,43,Female,Lahore,Gold,In-Store,2020-09-21
CUST00103,35,Female,Sialkot,Bronze,In-Store,2020-04-05
CUST00104,38,Male,Gujranwala,Bronze,In-Store,2019-09-05
CUST00105,44,Female,Lahore,Bronze,In-Store,2022-03-12
CUST00106,39,Male,Multan,Bronze,Online,2018-12-14
CUST00107,42,Female,Lahore,Bronze,Mobile App,2019-08-06
CUST00108,27,Male,Abbottabad,Silver,Online,2022-08-16
CUST00109,55,Female,Lahore,Silver,Online,2024-11-25
CUST00110,23,Female,Sukkur,Silver,In-Store,2022-11-11
CUST00111,43,Female,Quetta,Gold,In-Store,2021-07-05
CUST00112,31,Male,Sargodha,Bronze,Mobile App,2021-12-03
CUST00113,52,Male,Quetta,Silver,Mobile App,2016-04-22
CUST00114,49,Female,Multan,Silver,Online,2021-04-07
CUST00115,37,Male,Rawalpindi,Gold,Online,2021-09-05
CUST00116,58,Other,Rawalpindi,Bronze,In-Store,2018-12-12
CUST00117,35,Female,Karachi,Silver,In-Store,2022-11-23
CUST00118,49,Female,Abbottabad,Bronze,Online,2023-03-18
CUST00119,28,Male,Multan,Bronze,In-Store,2025-05-04
CUST00120,43,Male,Multan,Silver,In-Store,2024-08-26
CUST00121,25,Male,Lahore,Bronze,Online,2020-01-18
CUST00122,38,Female,Rawalpindi,Gold,Mobile App,2016-05-21
CUST00123,37,Male,Lahore,Platinum,In-Store,2016-11-15
CUST00124,49,Female,Lahore,Silver,In-Store,2025-02-15
CUST00125,29,Female,Faisalabad,Platinum,In-Store,2018-02-19
CUST00126,77,Female,Lahore,Silver,Online,2017-07-22
CUST00127,20,Female,Peshawar,Bronze,Mobile App,2021-06-25
CUST00128,41,Female,Islamabad,Platinum,Online,2016-06-24
CUST00129,41,Male,Islamabad,Bronze,In-Store,2015-11-21
CUST00130,44,Female,Quetta,Bronze,Online,2022-05-03
CUST00131,31,Female,Peshawar,Bronze,In-Store,2016-03-18
CUST00132,41,Female,Islamabad,Gold,In-Store,2019-10-27
CUST00133,30,Male,Bahawalpur,Bronze,Online,2021-11-12
CUST00134,62,Female,Islamabad,Gold,Online,2025-10-12
CUST00135,29,Male,Quetta,Gold,Online,2018-08-01
CUST00136,36,Female,Gujranwala,Platinum,Online,2019-07-24
CUST00137,29,Male,Lahore,Platinum,In-Store,2020-07-08
CUST00138,27,Female,Rawalpindi,Bronze,In-Store,2022-03-13
CUST00139,19,Male,Karachi,Silver,In-Store,2017-04-07
CUST00140,46,Male,Islamabad,Gold,Mobile App,2016-08-20
CUST00141,29,Female,Lahore,Bronze,Mobile App,2022-11-07
CUST00142,27,Female,Sialkot,Platinum,Mobile App,2019-08-13
CUST00143,25,Male,Lahore,Gold,Online,2020-06-28
CUST00144,41,Female,Karachi,Platinum,Mobile App,2022-06-30
CUST00145,38,Female,Karachi,Bronze,Online,2020-01-13
CUST00146,38,Female,Sialkot,Bronze,In-Store,2016-04-30
CUST00147,28,Male,Karachi,Platinum,Online,2019-03-23
CUST00148,43,Female,Peshawar,Bronze,Online,2021-04-28
CUST00149,29,Male,Lahore,Platinum,Online,2021-08-11
CUST00150,38,Female,Lahore,Bronze,In-Store,2025-07-04
CUST00151,36,Male,Gujranwala,Bronze,Mobile App,2018-01-25
CUST00152,18,Female,Peshawar,Silver,Mobile App,2018-04-11
CUST00153,64,Male,Peshawar,Platinum,Online,2023-09-27
CUST00154,45,Male,Bahawalpur,Silver,In-Store,2021-08-16
CUST00155,40,Female,Sukkur,Silver,In-Store,2017-02-03
CUST00156,42,Female,Hyderabad,Bronze,Mobile App,2021-11-30
CUST00157,64,Female,Karachi,Bronze,Online,2024-06-04
CUST00158,52,Female,Lahore,Gold,In-Store,2024-03-11
CUST00159,42,Male,Abbottabad,Gold,Online,2021-01-11
CUST00160,28,Female,Multan,Gold,In-Store,2016-09-03
CUST00161,30,Male,Faisalabad,Bronze,Online,2020-05-06
CUST00162,18,Male,Faisalabad,Bronze,In-Store,2022-11-12
CUST00163,33,Male,Quetta,Silver,In-Store,2023-10-17
CUST00164,46,Male,Multan,Silver,In-Store,2021-02-01
CUST00165,46,Male,Karachi,Silver,In-Store,2017-01-21
CUST00166,46,Male,Karachi,Bronze,Mobile App,2020-12-28
CUST00167,31,Female,Lahore,Gold,Online,2016-06-12
CUST00168,45,Female,Sukkur,Silver,In-Store,2022-01-02
CUST00169,48,Male,Islamabad,Silver,In-Store,2023-08-01
CUST00170,18,Male,Sukkur,Bronze,Online,2023-09-21
CUST00171,41,Male,Multan,Bronze,Mobile App,2020-08-02
CUST00172,65,Female,Bahawalpur,Bronze,In-Store,2022-11-26
CUST00173,34,Male,Sukkur,Silver,Online,2016-02-08
CUST00174,18,Female,Islamabad,Silver,Mobile App,2015-08-08
CUST00175,27,Male,Faisalabad,Bronze,In-Store,2016-07-02
CUST00176,18,Female,Quetta,Silver,Online,2020-04-09
CUST00177,29,Female,Karachi,Silver,In-Store,2025-02-02
CUST00178,22,Male,Karachi,Bronze,In-Store,2022-05-20
CUST00179,50,Female,Quetta,Bronze,Mobile App,2020-08-12
CUST00180,48,Female,Bahawalpur,Silver,Mobile App,2015-02-03
CUST00181,42,Male,Lahore,Bronze,In-Store,2017-07-07
CUST00182,53,Female,Islamabad,Bronze,Online,2018-04-22
CUST00183,30,Male,Sukkur,Silver,Online,2015-11-16
CUST00184,38,Female,Lahore,Bronze,Mobile App,2016-04-01
CUST00185,66,Male,Bahawalpur,Gold,Online,2020-05-02
CUST00186,45,Female,Karachi,Silver,Online,2018-06-26
CUST00187,45,Female,Lahore,Bronze,Online,2019-04-07
CUST00188,28,Female,Karachi,Bronze,In-Store,2023-05-09
CUST00189,32,Male,Karachi,Bronze,In-Store,2018-07-01
CUST00190,24,Male,Lahore,Platinum,Mobile App,2023-08-21
CUST00191,59,Female,Peshawar,Bronze,Mobile App,2024-10-01
CUST00192,18,Female,Lahore,Bronze,In-Store,2022-05-14
CUST00193,49,Female,Sargodha,Gold,Online,2022-05-21
CUST00194,45,Female,Islamabad,Bronze,In-Store,2016-06-27
CUST00195,18,Female,Faisalabad,Bronze,Online,2015-07-22
CUST00196,52,Other,Peshawar,Gold,In-Store,2022-12-19
CUST00197,34,Female,Karachi,Silver,Mobile App,2021-05-27
CUST00198,20,Male,Peshawar,Bronze,Online,2022-12-30
CUST00199,42,Female,Karachi,Bronze,Online,2021-12-28
CUST00200,27,Male,Gujranwala,Gold,In-Store,2015-06-25
CUST00201,35,Female,Faisalabad,Bronze,In-Store,2021-01-16
CUST00202,31,Male,Karachi,Silver,Online,2021-01-29
CUST00203,26,Other,Quetta,Bronze,In-Store,2022-04-15
CUST00204,22,Female,Karachi,Bronze,In-Store,2020-07-12
CUST00205,48,Female,Abbottabad,Bronze,Mobile App,2020-03-13
CUST00206,42,Male,Rawalpindi,Bronze,In-Store,2022-02-15
CUST00207,41,Female,Islamabad,Silver,In-Store,2021-09-29
CUST00208,33,Male,Islamabad,Silver,Mobile App,2022-07-31
CUST00209,38,Male,Rawalpindi,Bronze,Online,2018-03-06
CUST00210,28,Female,Sialkot,Bronze,In-Store,2015-09-23
CUST00211,28,Male,Faisalabad,Gold,Online,2020-03-22
CUST00212,60,Male,Peshawar,Silver,In-Store,2017-09-26
CUST00213,49,Female,Karachi,Silver,In-Store,2017-02-09
CUST00214,30,Female,Hyderabad,Bronze,In-Store,2024-01-29
CUST00215,18,Male,Faisalabad,Silver,In-Store,2021-03-05
CUST00216,18,Female,Faisalabad,Silver,Mobile App,2020-09-16
CUST00217,29,Female,Lahore,Bronze,Mobile App,2018-05-16
CUST00218,39,Male,Karachi,Silver,In-Store,2023-12-17
CUST00219,39,Female,Islamabad,Bronze,Mobile App,2024-06-02
CUST00220,39,Female,Gujranwala,Bronze,Online,2017-10-24
CUST00221,42,Male,Faisalabad,Silver,In-Store,2020-04-26
CUST00222,24,Male,Lahore,Bronze,In-Store,2025-04-28
CUST00223,57,Male,Multan,Gold,In-Store,2021-06-15
CUST00224,35,Female,Islamabad,Bronze,In-Store,2020-02-04
CUST00225,41,Female,Lahore,Bronze,In-Store,2023-03-16
CUST00226,29,Male,Sialkot,Bronze,In-Store,2020-05-09
CUST00227,42,Male,Lahore,Gold,Online,2015-09-06
CUST00228,65,Female,Multan,Gold,In-Store,2018-03-26
CUST00229,25,Male,Quetta,Platinum,In-Store,2024-05-11
CUST00230,23,Male,Karachi,Gold,In-Store,2023-09-24
CUST00231,26,Female,Quetta,Gold,In-Store,2024-05-30
CUST00232,33,Male,Karachi,Platinum,In-Store,2022-08-31
CUST00233,31,Female,Gujranwala,Bronze,In-Store,2018-10-22
CUST00234,24,Male,Lahore,Silver,Online,2024-07-04
CUST00235,37,Male,Karachi,Bronze,In-Store,2019-12-05
CUST00236,58,Male,Karachi,Gold,In-Store,2019-08-31
CUST00237,36,Female,Rawalpindi,Bronze,In-Store,2023-09-21
CUST00238,36,Female,Lahore,Silver,Mobile App,2023-12-24
CUST00239,42,Male,Rawalpindi,Bronze,Online,2023-07-12
CUST00240,46,Female,Hyderabad,Silver,Online,2019-11-05
CUST00241,55,Female,Karachi,Gold,Online,2023-01-07
CUST00242,41,Female,Lahore,Silver,Online,2018-05-05
CUST00243,37,Female,Karachi,Platinum,In-Store,2019-02-24
CUST00244,25,Female,Peshawar,Bronze,Mobile App,2025-11-07
CUST00245,47,Male,Multan,Silver,In-Store,2025-08-26
CUST00246,27,Female,Hyderabad,Gold,In-Store,2018-01-01
CUST00247,26,Female,Quetta,Silver,In-Store,2018-03-13
CUST00248,40,Female,Quetta,Silver,In-Store,2017-03-09
CUST00249,58,Female,Karachi,Bronze,Online,2019-03-28
CUST00250,47,Female,Gujranwala,Gold,In-Store,2021-06-11
CUST00251,37,Female,Karachi,Bronze,In-Store,2024-06-10
CUST00252,25,Female,Quetta,Bronze,Online,2023-06-05
CUST00253,57,Female,Gujranwala,Bronze,Mobile App,2022-01-16
CUST00254,37,Female,Lahore,Silver,In-Store,2016-07-11
CUST00255,34,Female,Islamabad,Bronze,In-Store,2016-10-26
CUST00256,45,Male,Lahore,Platinum,Online,2023-10-26
CUST00257,32,Female,Gujranwala,Silver,In-Store,2023-07-04
CUST00258,28,Female,Rawalpindi,Platinum,In-Store,2025-09-05
CUST00259,29,Male,Islamabad,Silver,In-Store,2018-01-12
CUST00260,29,Female,Faisalabad,Gold,In-Store,2020-08-22
CUST00261,23,Male,Quetta,Bronze,In-Store,2022-09-08
CUST00262,21,Male,Peshawar,Silver,Online,2025-08-16
CUST00263,50,Male,Quetta,Bronze,In-Store,2015-05-05
CUST00264,46,Male,Sargodha,Bronze,Online,2016-07-06
CUST00265,27,Female,Lahore,Bronze,In-Store,2025-03-14
CUST00266,49,Female,Lahore,Silver,In-Store,2021-04-14
CUST00267,42,Male,Peshawar,Silver,Online,2018-05-23
CUST00268,33,Male,Karachi,Bronze,Mobile App,2024-09-22
CUST00269,22,Male,Peshawar,Gold,Online,2018-03-06
CUST00270,42,Female,Sargodha,Platinum,Online,2020-01-10
CUST00271,62,Female,Rawalpindi,Gold,In-Store,2024-10-28
CUST00272,38,Female,Lahore,Silver,In-Store,2024-02-02
CUST00273,50,Male,Abbottabad,Silver,In-Store,2024-01-05
CUST00274,35,Male,Islamabad,Bronze,Online,2022-03-15
CUST00275,49,Female,Karachi,Silver,Online,2023-08-23
CUST00276,36,Female,Rawalpindi,Bronze,Online,2017-11-11
CUST00277,18,Female,Karachi,Platinum,Mobile App,2017-05-20
CUST00278,28,Male,Karachi,Silver,In-Store,2024-11-26
CUST00279,39,Male,Karachi,Bronze,Online,2023-07-04
CUST00280,52,Male,Rawalpindi,Bronze,In-Store,2019-01-30
CUST00281,36,Male,Rawalpindi,Silver,In-Store,2016-10-26
CUST00282,38,Female,Quetta,Bronze,In-Store,2015-07-03
CUST00283,30,Male,Faisalabad,Gold,Online,2020-11-17
CUST00284,58,Female,Hyderabad,Gold,Mobile App,2017-07-18
CUST00285,57,Female,Sukkur,Gold,Online,2020-11-16
CUST00286,29,Female,Lahore,Silver,Online,2023-10-17
CUST00287,18,Female,Karachi,Gold,Mobile App,2019-06-08
CUST00288,18,Male,Quetta,Bronze,Online,2022-11-27
CUST00289,45,Female,Karachi,Silver,In-Store,2024-08-28
CUST00290,39,Female,Islamabad,Silver,Online,2022-05-08
CUST00291,27,Male,Karachi,Platinum,In-Store,2024-07-28
CUST00292,41,Male,Rawalpindi,Bronze,In-Store,2015-12-22
CUST00293,22,Male,Rawalpindi,Bronze,Mobile App,2022-08-28
CUST00294,48,Male,Hyderabad,Bronze,In-Store,2023-06-17
CUST00295,33,Female,Peshawar,Platinum,Online,2022-08-29
CUST00296,23,Male,Islamabad,Bronze,Online,2021-09-19
CUST00297,33,Male,Faisalabad,Bronze,Online,2021-10-21
CUST00298,32,Female,Faisalabad,Gold,Online,2016-06-07
CUST00299,42,Female,Lahore,Platinum,Online,2020-09-08
CUST00300,53,Male,Sialkot,Silver,Mobile App,2019-11-12
CUST00301,52,Female,Rawalpindi,Bronze,Online,2024-06-10
CUST00302,40,Female,Peshawar,Silver,In-Store,2018-06-29
CUST00303,35,Male,Karachi,Bronze,Mobile App,2019-07-06
CUST00304,30,Female,Karachi,Bronze,In-Store,2022-11-04
CUST00305,18,Male,Multan,Silver,In-Store,2016-08-22
CUST00306,37,Female,Sialkot,Gold,Mobile App,2019-08-07
CUST00307,26,Female,Islamabad,Bronze,In-Store,2021-05-10
CUST00308,53,Male,Sargodha,Silver,In-Store,2022-07-02
CUST00309,35,Female,Hyderabad,Bronze,Online,2024-10-25
CUST00310,47,Male,Faisalabad,Bronze,Mobile App,2025-02-03
CUST00311,31,Female,Peshawar,Bronze,Online,2015-05-31
CUST00312,29,Female,Multan,Bronze,In-Store,2019-09-15
CUST00313,45,Male,Lahore,Bronze,Online,2025-04-19
CUST00314,41,Female,Karachi,Bronze,In-Store,2024-08-21
CUST00315,42,Female,Gujranwala,Bronze,In-Store,2021-12-17
CUST00316,36,Male,Rawalpindi,Silver,In-Store,2018-11-11
CUST00317,48,Female,Hyderabad,Bronze,In-Store,2022-08-02
CUST00318,46,Male,Islamabad,Bronze,Mobile App,2018-06-21
CUST00319,18,Female,Karachi,Gold,In-Store,2022-02-11
CUST00320,34,Male,Karachi,Gold,Online,2016-09-18
CUST00321,51,Male,Karachi,Bronze,In-Store,2017-02-07
CUST00322,24,Female,Quetta,Platinum,In-Store,2023-01-04
CUST00323,18,Female,Karachi,Bronze,Online,2021-07-13
CUST00324,36,Female,Gujranwala,Gold,In-Store,2023-03-10
CUST00325,44,Male,Peshawar,Silver,In-Store,2016-05-22
CUST00326,32,Female,Islamabad,Bronze,In-Store,2016-06-11
CUST00327,54,Male,Faisalabad,Bronze,In-Store,2019-03-10
CUST00328,61,Female,Bahawalpur,Bronze,Mobile App,2025-03-18
CUST00329,18,Male,Karachi,Silver,In-Store,2016-06-25
CUST00330,33,Female,Islamabad,Bronze,Online,2019-02-26
CUST00331,18,Female,Islamabad,Platinum,In-Store,2022-09-27
CUST00332,46,Female,Sargodha,Bronze,Online,2022-02-26
CUST00333,29,Male,Abbottabad,Silver,Online,2020-07-24
CUST00334,31,Female,Hyderabad,Bronze,In-Store,2024-06-24
CUST00335,52,Female,Islamabad,Platinum,In-Store,2024-03-24
CUST00336,20,Female,Sukkur,Bronze,In-Store,2020-07-18
CUST00337,18,Male,Rawalpindi,Bronze,Mobile App,2020-01-27
CUST00338,18,Female,Peshawar,Silver,Online,2024-09-09
CUST00339,54,Female,Bahawalpur,Bronze,In-Store,2021-10-18
CUST00340,51,Other,Lahore,Silver,Online,2023-05-11
CUST00341,34,Male,Hyderabad,Bronze,Online,2023-10-19
CUST00342,21,Male,Islamabad,Platinum,In-Store,2019-02-14
CUST00343,48,Female,Sukkur,Gold,In-Store,2021-01-06
CUST00344,73,Male,Faisalabad,Bronze,In-Store,2019-12-04
CUST00345,34,Female,Lahore,Gold,In-Store,2021-11-29
CUST00346,22,Male,Sialkot,Bronze,Mobile App,2022-01-21
CUST00347,54,Female,Karachi,Platinum,Online,2021-03-28
CUST00348,23,Female,Karachi,Bronze,Mobile App,2024-08-29
CUST00349,33,Male,Karachi,Bronze,In-Store,2023-05-28
CUST00350,18,Female,Hyderabad,Gold,Online,2025-11-12
CUST00351,34,Male,Sukkur,Bronze,In-Store,2018-06-10
CUST00352,21,Male,Multan,Platinum,In-Store,2016-10-01
CUST00353,54,Female,Lahore,Silver,In-Store,2023-06-12
CUST00354,25,Male,Islamabad,Silver,In-Store,2021-11-02
CUST00355,48,Male,Lahore,Bronze,In-Store,2019-05-16
CUST00356,36,Female,Karachi,Silver,Online,2024-12-23
CUST00357,39,Male,Hyderabad,Silver,In-Store,2024-09-24
CUST00358,44,Other,Lahore,Silver,In-Store,2018-01-07
CUST00359,37,Female,Karachi,Silver,In-Store,2024-10-12
CUST00360,29,Female,Karachi,Silver,Online,2020-07-06
CUST00361,27,Female,Bahawalpur,Silver,In-Store,2015-12-12
CUST00362,44,Female,Islamabad,Silver,In-Store,2022-09-20
CUST00363,18,Male,Peshawar,Silver,Online,2022-10-21
CUST00364,59,Female,Karachi,Platinum,In-Store,2020-03-06
CUST00365,39,Female,Faisalabad,Silver,In-Store,2020-07-08
CUST00366,33,Female,Sialkot,Bronze,In-Store,2016-11-18
CUST00367,41,Other,Karachi,Platinum,Mobile App,2019-03-26
CUST00368,30,Female,Lahore,Platinum,In-Store,2017-02-02
CUST00369,35,Male,Islamabad,Platinum,Online,2015-12-31
CUST00370,23,Female,Sukkur,Bronze,In-Store,2021-07-13
CUST00371,42,Male,Peshawar,Bronze,Online,2015-09-29
CUST00372,36,Female,Sukkur,Bronze,Online,2025-11-16
CUST00373,40,Female,Islamabad,Gold,Mobile App,2016-10-25
CUST00374,57,Female,Multan,Gold,Mobile App,2016-03-25
CUST00375,27,Male,Faisalabad,Bronze,Mobile App,2023-02-23
CUST00376,36,Male,Lahore,Bronze,In-Store,2020-05-26
CUST00377,18,Male,Rawalpindi,Gold,Online,2025-03-04
CUST00378,45,Female,Lahore,Bronze,Online,2015-12-18
CUST00379,37,Other,Karachi,Silver,In-Store,2015-03-03
CUST00380,38,Male,Abbottabad,Bronze,In-Store,2023-05-05
CUST00381,35,Female,Sargodha,Bronze,In-Store,2020-02-14
CUST00382,30,Female,Gujranwala,Bronze,Online,2023-11-29
CUST00383,70,Female,Lahore,Bronze,Online,2020-12-11
CUST00384,38,Male,Karachi,Bronze,Online,2022-09-20
CUST00385,41,Male,Lahore,Silver,In-Store,2020-06-08
CUST00386,23,Male,Sukkur,Bronze,Online,2022-04-15
CUST00387,49,Male,Karachi,Platinum,In-Store,2023-07-27
CUST00388,36,Male,Lahore,Silver,Mobile App,2024-01-20
CUST00389,43,Female,Peshawar,Bronze,In-Store,2015-04-08
CUST00390,49,Female,Rawalpindi,Bronze,Online,2022-11-26
CUST00391,36,Male,Peshawar,Silver,Mobile App,2022-03-19
CUST00392,29,Female,Faisalabad,Silver,In-Store,2021-09-18
CUST00393,18,Female,Multan,Silver,In-Store,2021-11-19
CUST00394,32,Male,Sukkur,Gold,In-Store,2022-11-17
CUST00395,29,Male,Lahore,Silver,In-Store,2025-11-13
CUST00396,23,Male,Karachi,Bronze,Online,2016-03-11
CUST00397,56,Male,Islamabad,Bronze,Mobile App,2021-04-13
CUST00398,50,Female,Faisalabad,Bronze,Mobile App,2018-10-24
CUST00399,18,Male,Faisalabad,Bronze,Mobile App,2023-09-15
CUST00400,39,Male,Faisalabad,Silver,In-Store,2022-04-08
CUST00401,27,Male,Faisalabad,Bronze,In-Store,2021-01-11
CUST00402,42,Male,Faisalabad,Bronze,In-Store,2023-10-11
CUST00403,27,Female,Bahawalpur,Bronze,Online,2019-02-26
CUST00404,30,Female,Karachi,Gold,Online,2017-04-23
CUST00405,50,Female,Sargodha,Bronze,Online,2019-10-21
CUST00406,48,Female,Multan,Silver,In-Store,2018-08-21
CUST00407,57,Male,Karachi,Gold,Online,2023-05-07
CUST00408,35,Male,Karachi,Gold,In-Store,2019-11-25
CUST00409,19,Female,Multan,Gold,In-Store,2022-12-02
CUST00410,49,Female,Peshawar,Silver,Online,2025-01-14
CUST00411,50,Female,Faisalabad,Bronze,Mobile App,2015-06-28
CUST00412,46,Female,Rawalpindi,Silver,Online,2019-01-19
CUST00413,28,Female,Lahore,Silver,In-Store,2016-06-19
CUST00414,24,Female,Multan,Silver,In-Store,2016-07-16
CUST00415,44,Female,Sukkur,Bronze,Mobile App,2023-03-12
CUST00416,26,Female,Rawalpindi,Bronze,Online,2024-08-01
CUST00417,33,Male,Quetta,Bronze,Online,2023-10-20
CUST00418,75,Male,Karachi,Silver,In-Store,2019-05-16
CUST00419,65,Female,Rawalpindi,Gold,In-Store,2018-11-18
CUST00420,48,Male,Sialkot,Gold,Online,2024-06-28
CUST00421,29,Male,Hyderabad,Bronze,Online,2023-07-01
CUST00422,28,Female,Faisalabad,Platinum,Mobile App,2015-12-04
