feature,importance
categorical__store_name_Hyderabad Convenience Store #12,4.0324701030067644e-07
numeric__below_reorder_point,4.0012654633459944e-07
categorical__store_name_Quetta Supermarket #08,3.8735980914883485e-07
categorical__city_Hyderabad,3.7655420657162133e-07
categorical__store_id_ST19,3.763056514641288e-07
categorical__store_id_ST08,3.622575505734627e-07
categorical__store_id_ST14,2.989720463493087e-07
categorical__store_id_ST13,2.9260689512123533e-07
numeric__below_safety_stock,2.810925003562373e-07
categorical__store_name_Multan Convenience Store #13,2.5842580339290866e-07
categorical__store_name_Sialkot Supermarket #14,2.445599420172613e-07
categorical__store_name_Karachi Supermarket #05,2.412494742002526e-07
categorical__store_id_ST04,2.318617040115934e-07
categorical__store_name_Gujranwala Convenience Store #24,2.2923276696223729e-07
categorical__store_type_Express Store,2.2690621970887238e-07
categorical__store_id_ST06,2.2621961533676053e-07
categorical__store_id_ST12,2.0855383736863027e-07
categorical__store_id_ST11,2.0651696296005223e-07
categorical__store_name_Lahore Convenience Store #26,2.0458376683582217e-07
categorical__store_id_ST23,1.9190580739262308e-07
categorical__store_name_Quetta Convenience Store #25,1.8897716471875928e-07
categorical__store_name_Sialkot Supermarket #03,1.8591027493871475e-07
categorical__store_name_Multan Supermarket #04,1.8264570462143458e-07
numeric__stockout_risk_flag,1.6852995113283628e-07
categorical__store_name_Sialkot Convenience Store #19,1.5993568582621005e-07
categorical__store_id_ST01,1.5680394875080278e-07
categorical__store_id_ST05,1.5377373570762046e-07
categorical__city_Gujranwala,1.374912733161925e-07
categorical__store_name_Quetta Convenience Store #01,1.3261053166439903e-07
categorical__store_id_ST27,1.2762548296172926e-07
categorical__store_id_ST25,9.767443748360217e-08
categorical__store_id_ST30,7.916907184868778e-08
categorical__store_name_Rawalpindi Supermarket #27,6.977721864550621e-08
numeric__stockout_flag,4.096434797770334e-08
numeric__is_holiday,4.078412223109711e-08
numeric__promo_lag_7,5.022581437592147e-09
numeric__rolling_mean_28,1.2476627246007293e-09
numeric__demand_change_1d,0.0
numeric__rolling_mean_14,0.0
numeric__rolling_std_28,0.0
numeric__demand_ratio_1d_7d,0.0
numeric__promo_lag_1,0.0
numeric__rolling_mean_7,0.0
numeric__rolling_std_14,0.0
numeric__price_change_pct,0.0
numeric__price_change,0.0
numeric__lag_14,0.0
numeric__year,0.0
numeric__lag_1,0.0
numeric__lag_7,0.0
numeric__lag_28,0.0
numeric__rolling_std_7,0.0
