date,units_sold,revenue
2025-08-21,404,490041.68
2025-08-22,364,446924.12
2025-08-23,706,900206.89
2025-08-24,391,422221.45
2025-08-25,389,557446.5
2025-08-26,445,493496.97
2025-08-27,373,372650.14
2025-08-28,394,397679.54
2025-08-29,286,417705.22
2025-08-30,498,718149.62
2025-08-31,562,755696.67
2025-09-01,517,632113.34
2025-09-02,434,543701.22
2025-09-03,511,703427.79
2025-09-04,351,474572.09
2025-09-05,428,591876.44
2025-09-06,331,429179.99
2025-09-07,526,599184.03
2025-09-08,259,326090.62
2025-09-09,377,483209.06
2025-09-10,414,640950.11
2025-09-11,323,366986.07
2025-09-12,371,468989.46
2025-09-13,444,628809.27
2025-09-14,354,510139.88
2025-09-15,456,674462.05
2025-09-16,529,552952.3
2025-09-17,452,543205.97
2025-09-18,441,488766.12
2025-09-19,387,499788.74
2025-09-20,508,478170.27
2025-09-21,354,491478.37
2025-09-22,277,315596.29
2025-09-23,407,540417.6799999999
2025-09-24,370,458225.97
2025-09-25,494,602155.03
2025-09-26,380,393907.03
2025-09-27,357,542914.85
2025-09-28,462,592321.28
2025-09-29,386,473322.71
2025-09-30,348,451343.33
2025-10-01,365,401483.71
2025-10-02,337,494804.05
2025-10-03,209,303133.74
2025-10-04,353,506729.98
2025-10-05,496,630964.99
2025-10-06,453,634504.27
2025-10-07,495,699163.85
2025-10-08,566,765550.39
2025-10-09,565,651387.16
2025-10-10,491,575225.25
2025-10-11,579,749647.42
2025-10-12,632,703159.54
2025-10-13,642,867834.08
2025-10-14,221,307703.04
2025-10-15,436,507353.25
2025-10-16,552,789676.69
2025-10-17,400,551270.91
2025-10-18,365,521569.85
2025-10-19,574,749304.48
2025-10-20,601,750204.71
2025-10-21,304,474064.33999999997
2025-10-22,529,614486.33
2025-10-23,363,475463.9
2025-10-24,414,699354.54
2025-10-25,546,810886.71
2025-10-26,580,828640.79
2025-10-27,559,586972.39
2025-10-28,420,497458.73
2025-10-29,803,1171777.46
2025-10-30,499,795596.37
2025-10-31,569,885172.41
