sku_id,store_id,inventory_status,replenishment_priority,stock_on_hand,forecast_total_demand,recommended_order_quantity,stockout_risk_flag,overstock_risk_flag,estimated_replenishment_cost
SKU00597,ST01,STOCKOUT,URGENT,0.0,29.10224761904762,30,1,0,11946.6
SKU00785,ST01,STOCKOUT,URGENT,0.0,40.22589523809525,41,1,0,7878.559999999999
SKU00827,ST01,STOCKOUT,URGENT,0.0,12.119361904761904,13,1,0,1475.37
SKU00868,ST01,STOCKOUT,URGENT,0.0,20.55299047619047,21,1,0,2234.61
SKU01127,ST01,STOCKOUT,URGENT,0.0,3.999333333333333,4,1,0,2598.64
SKU01270,ST01,STOCKOUT,URGENT,0.0,15.104814285714284,16,1,0,2951.68
SKU01348,ST01,STOCKOUT,URGENT,0.0,3.2846523809523807,4,1,0,3142.28
SKU01387,ST01,STOCKOUT,URGENT,0.0,16.096999999999998,17,1,0,2535.72
SKU01501,ST01,STOCKOUT,URGENT,0.0,8.976,9,1,0,496.62
SKU01535,ST01,STOCKOUT,URGENT,0.0,7.0553333333333335,8,1,0,1702.72
SKU01537,ST01,STOCKOUT,URGENT,0.0,14.046380952380952,15,1,0,5871.45
SKU01578,ST01,STOCKOUT,URGENT,0.0,17.06853333333333,18,1,0,6093.0
SKU01908,ST01,STOCKOUT,URGENT,0.0,22.7435,23,1,0,36859.57
SKU01932,ST01,STOCKOUT,URGENT,0.0,35.32479047619048,36,1,0,4703.76
SKU02345,ST01,STOCKOUT,URGENT,0.0,32.025717316017314,33,1,0,8286.960000000001
SKU02440,ST01,STOCKOUT,URGENT,0.0,20.85091428571428,21,1,0,2147.04
SKU02754,ST01,STOCKOUT,URGENT,0.0,11.942666666666666,12,1,0,6605.400000000001
SKU02962,ST01,STOCKOUT,URGENT,0.0,17.075533333333333,18,1,0,8467.380000000001
SKU03131,ST01,STOCKOUT,URGENT,0.0,8.021428571428572,9,1,0,258.39
SKU03207,ST01,STOCKOUT,URGENT,0.0,9.309563492063493,10,1,0,1143.3
SKU03493,ST01,STOCKOUT,URGENT,0.0,19.81533333333333,20,1,0,2404.6
SKU03502,ST01,STOCKOUT,URGENT,0.0,26.347047619047625,27,1,0,2029.05
SKU03797,ST01,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU03891,ST01,STOCKOUT,URGENT,0.0,19.676133333333336,20,1,0,2253.0
SKU03909,ST01,STOCKOUT,URGENT,0.0,1.008,2,1,0,122.3
SKU04383,ST01,STOCKOUT,URGENT,0.0,7.021333333333333,8,1,0,10039.92
SKU04539,ST01,STOCKOUT,URGENT,0.0,4.994,5,1,0,710.95
SKU04599,ST01,STOCKOUT,URGENT,0.0,58.27795238095234,59,1,0,90116.01
SKU04617,ST01,STOCKOUT,URGENT,0.0,22.15738095238096,23,1,0,11369.82
SKU04639,ST01,STOCKOUT,URGENT,0.0,32.347041125541125,33,1,0,5191.89
SKU04646,ST01,STOCKOUT,URGENT,0.0,13.9692,37,1,0,2247.75
SKU04676,ST01,STOCKOUT,URGENT,0.0,26.841961904761902,27,1,0,7470.9
SKU04923,ST01,STOCKOUT,URGENT,0.0,5.0612,6,1,0,217.02
SKU04980,ST01,STOCKOUT,URGENT,0.0,15.902466666666667,16,1,0,12574.72
SKU00025,ST02,STOCKOUT,URGENT,0.0,6.992666666666667,7,1,0,10385.27
SKU00058,ST02,STOCKOUT,URGENT,0.0,4.99,5,1,0,349.65000000000003
SKU00115,ST02,STOCKOUT,URGENT,0.0,4.998,5,1,0,131.0
SKU00408,ST02,STOCKOUT,URGENT,0.0,6.008666666666666,7,1,0,6216.7
SKU00459,ST02,STOCKOUT,URGENT,0.0,15.980666666666664,16,1,0,1335.84
SKU00760,ST02,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU00928,ST02,STOCKOUT,URGENT,0.0,4.002,5,1,0,390.2000000000001
SKU01004,ST02,STOCKOUT,URGENT,0.0,5.994800000000001,6,1,0,8986.32
SKU01023,ST02,STOCKOUT,URGENT,0.0,9.008,10,1,0,3826.8
SKU01244,ST02,STOCKOUT,URGENT,0.0,6.035466666666667,7,1,0,9218.51
SKU01285,ST02,STOCKOUT,URGENT,0.0,7.998733333333333,8,1,0,1961.36
SKU01349,ST02,STOCKOUT,URGENT,0.0,2.995,3,1,0,770.52
SKU01365,ST02,STOCKOUT,URGENT,0.0,35.04420793650795,36,1,0,1380.96
SKU01403,ST02,STOCKOUT,URGENT,0.0,4.021199999999999,5,1,0,2216.85
SKU01624,ST02,STOCKOUT,URGENT,0.0,4.031,5,1,0,1388.5
SKU01735,ST02,STOCKOUT,URGENT,0.0,6.002,7,1,0,4138.82
SKU01749,ST02,STOCKOUT,URGENT,0.0,4.019466666666666,5,1,0,4863.3
SKU01811,ST02,STOCKOUT,URGENT,0.0,10.9792,11,1,0,9516.54
SKU01996,ST02,STOCKOUT,URGENT,0.0,8.074666666666666,9,1,0,2342.7000000000003
SKU02073,ST02,STOCKOUT,URGENT,0.0,6.032,7,1,0,2480.94
SKU02366,ST02,STOCKOUT,URGENT,0.0,13.950666666666669,14,1,0,14510.44
SKU02369,ST02,STOCKOUT,URGENT,0.0,16.919266666666665,17,1,0,2012.8
SKU02457,ST02,STOCKOUT,URGENT,0.0,14.64133492063492,15,1,0,9469.65
SKU02521,ST02,STOCKOUT,URGENT,0.0,18.809171428571425,19,1,0,26955.49
SKU02609,ST02,STOCKOUT,URGENT,0.0,12.868333333333334,13,1,0,3331.38
SKU02625,ST02,STOCKOUT,URGENT,0.0,15.988,16,1,0,5480.96
SKU02679,ST02,STOCKOUT,URGENT,0.0,7.0264,8,1,0,3893.6
SKU02752,ST02,STOCKOUT,URGENT,0.0,7.977666666666667,8,1,0,3957.92
SKU02879,ST02,STOCKOUT,URGENT,0.0,3.026666666666667,4,1,0,376.4
SKU02920,ST02,STOCKOUT,URGENT,0.0,28.098961904761893,29,1,0,1401.86
SKU02985,ST02,STOCKOUT,URGENT,0.0,15.766222222222224,16,1,0,9059.52
SKU03054,ST02,STOCKOUT,URGENT,0.0,8.267866666666668,9,1,0,564.21
SKU03174,ST02,STOCKOUT,URGENT,0.0,14.24639682539683,15,1,0,10020.9
SKU03326,ST02,STOCKOUT,URGENT,0.0,1.032,2,1,0,58.9
SKU03808,ST02,STOCKOUT,URGENT,0.0,7.951733333333332,8,1,0,7979.6
SKU04205,ST02,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU04360,ST02,STOCKOUT,URGENT,0.0,8.992333333333335,9,1,0,900.99
SKU04596,ST02,STOCKOUT,URGENT,0.0,17.893719047619047,18,1,0,4370.22
SKU04606,ST02,STOCKOUT,URGENT,0.0,6.9909333333333326,7,1,0,5587.54
SKU04860,ST02,STOCKOUT,URGENT,0.0,9.003,10,1,0,1020.9
SKU04995,ST02,STOCKOUT,URGENT,0.0,9.982266666666666,10,1,0,7345.4
SKU00091,ST03,STOCKOUT,URGENT,0.0,16.1028,17,1,0,2093.72
SKU00172,ST03,STOCKOUT,URGENT,0.0,24.39312409812409,25,1,0,1880.0
SKU00474,ST03,STOCKOUT,URGENT,0.0,40.35048412698414,41,1,0,2710.51
SKU00593,ST03,STOCKOUT,URGENT,0.0,22.02279365079367,23,1,0,13131.85
SKU00616,ST03,STOCKOUT,URGENT,0.0,12.0092,13,1,0,22917.7
SKU00673,ST03,STOCKOUT,URGENT,0.0,24.19597142857142,25,1,0,2144.0
SKU00709,ST03,STOCKOUT,URGENT,0.0,19.02903333333333,20,1,0,29612.800000000003
SKU00945,ST03,STOCKOUT,URGENT,0.0,15.356888888888893,16,1,0,1293.44
SKU00967,ST03,STOCKOUT,URGENT,0.0,33.639133333333334,34,1,0,1539.86
SKU01180,ST03,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU01293,ST03,STOCKOUT,URGENT,0.0,14.041333333333334,15,1,0,2272.05
SKU01552,ST03,STOCKOUT,URGENT,0.0,10.0204,11,1,0,1648.9
SKU01557,ST03,STOCKOUT,URGENT,0.0,26.24698412698413,27,1,0,1482.03
SKU01907,ST03,STOCKOUT,URGENT,0.0,13.936933333333334,14,1,0,18241.86
SKU02085,ST03,STOCKOUT,URGENT,0.0,6.017999999999999,7,1,0,5166.84
SKU02115,ST03,STOCKOUT,URGENT,0.0,33.377231746031754,34,1,0,2116.5
SKU02143,ST03,STOCKOUT,URGENT,0.0,3.0,3,1,0,200.7
SKU02292,ST03,STOCKOUT,URGENT,0.0,2.743895238095239,3,1,0,652.77
SKU02719,ST03,STOCKOUT,URGENT,0.0,4.913901587301588,5,1,0,5534.6
SKU02891,ST03,STOCKOUT,URGENT,0.0,4.963333333333333,5,1,0,1924.05
SKU02892,ST03,STOCKOUT,URGENT,0.0,8.006933333333333,9,1,0,415.98
SKU03008,ST03,STOCKOUT,URGENT,0.0,4.012733333333333,5,1,0,774.5999999999999
SKU03146,ST03,STOCKOUT,URGENT,0.0,6.973333333333334,7,1,0,6321.77
SKU03360,ST03,STOCKOUT,URGENT,0.0,17.379014285714284,18,1,0,4817.7
SKU03383,ST03,STOCKOUT,URGENT,0.0,26.073192063492066,27,1,0,4246.56
SKU03576,ST03,STOCKOUT,URGENT,0.0,38.17772813852813,39,1,0,1707.81
SKU03601,ST03,STOCKOUT,URGENT,0.0,6.043666666666667,7,1,0,4307.17
SKU03659,ST03,STOCKOUT,URGENT,0.0,5.000333333333334,6,1,0,2047.14
SKU03688,ST03,STOCKOUT,URGENT,0.0,2.975,3,1,0,1411.98
SKU03772,ST03,STOCKOUT,URGENT,0.0,23.670019047619054,24,1,0,4521.84
SKU03785,ST03,STOCKOUT,URGENT,0.0,23.1451468975469,24,1,0,3858.480000000001
SKU03952,ST03,STOCKOUT,URGENT,0.0,18.9952,19,1,0,4917.77
SKU04027,ST03,STOCKOUT,URGENT,0.0,10.031733333333332,11,1,0,807.95
SKU04164,ST03,STOCKOUT,URGENT,0.0,18.12286666666666,19,1,0,2304.89
SKU04418,ST03,STOCKOUT,URGENT,0.0,30.1492507936508,31,1,0,77056.39
SKU04515,ST03,STOCKOUT,URGENT,0.0,15.740733333333337,16,1,0,2440.32
SKU04746,ST03,STOCKOUT,URGENT,0.0,18.403009523809526,19,1,0,5311.45
SKU04788,ST03,STOCKOUT,URGENT,0.0,15.013214285714286,16,1,0,5525.44
SKU04903,ST03,STOCKOUT,URGENT,0.0,14.202,15,1,0,2342.4
SKU04925,ST03,STOCKOUT,URGENT,0.0,11.009666666666664,12,1,0,1164.12
SKU00065,ST04,STOCKOUT,URGENT,0.0,24.60318095238095,25,1,0,18746.5
SKU00122,ST04,STOCKOUT,URGENT,0.0,17.85493333333333,18,1,0,2054.34
SKU00156,ST04,STOCKOUT,URGENT,0.0,20.039580952380945,21,1,0,2164.68
SKU00276,ST04,STOCKOUT,URGENT,0.0,4.006,5,1,0,196.95
SKU00444,ST04,STOCKOUT,URGENT,0.0,8.007000000000001,9,1,0,993.78
SKU00596,ST04,STOCKOUT,URGENT,0.0,55.84013650793651,56,1,0,17256.960000000003
SKU00956,ST04,STOCKOUT,URGENT,0.0,15.368422222222229,16,1,0,840.0
SKU01013,ST04,STOCKOUT,URGENT,0.0,18.07220000000001,19,1,0,10385.78
SKU01028,ST04,STOCKOUT,URGENT,0.0,7.0,7,1,0,552.86
SKU01164,ST04,STOCKOUT,URGENT,0.0,5.9943333333333335,35,1,0,5343.8
SKU01215,ST04,STOCKOUT,URGENT,0.0,21.153249206349216,22,1,0,3961.54
SKU01313,ST04,STOCKOUT,URGENT,0.0,15.275723809523814,16,1,0,4298.24
SKU01372,ST04,STOCKOUT,URGENT,0.0,12.972,13,1,0,12545.91
SKU01479,ST04,STOCKOUT,URGENT,0.0,6.979333333333334,7,1,0,1900.71
SKU01488,ST04,STOCKOUT,URGENT,0.0,3.9986666666666655,4,1,0,1848.92
SKU01494,ST04,STOCKOUT,URGENT,0.0,2.0066666666666664,3,1,0,1939.08
SKU01894,ST04,STOCKOUT,URGENT,0.0,30.49932222222223,31,1,0,10844.42
SKU01943,ST04,STOCKOUT,URGENT,0.0,14.046,15,1,0,11724.15
SKU01972,ST04,STOCKOUT,URGENT,0.0,32.08589365079366,33,1,0,1584.99
SKU02555,ST04,STOCKOUT,URGENT,0.0,17.932800000000004,18,1,0,5821.92
SKU02641,ST04,STOCKOUT,URGENT,0.0,21.198866666666667,22,1,0,1103.3
SKU02697,ST04,STOCKOUT,URGENT,0.0,7.068666666666667,8,1,0,1610.16
SKU02785,ST04,STOCKOUT,URGENT,0.0,9.956733333333332,10,1,0,7442.6
SKU02856,ST04,STOCKOUT,URGENT,0.0,8.208390476190475,9,1,0,1483.38
SKU02943,ST04,STOCKOUT,URGENT,0.0,29.8523746031746,30,1,0,15447.3
SKU03083,ST04,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU03372,ST04,STOCKOUT,URGENT,0.0,7.47784126984127,8,1,0,1326.32
SKU03669,ST04,STOCKOUT,URGENT,0.0,2.016,3,1,0,2552.79
SKU03697,ST04,STOCKOUT,URGENT,0.0,5.0216,6,1,0,10992.0
SKU03755,ST04,STOCKOUT,URGENT,0.0,11.004666666666669,12,1,0,10985.28
SKU03806,ST04,STOCKOUT,URGENT,0.0,18.13303809523809,19,1,0,949.05
SKU03872,ST04,STOCKOUT,URGENT,0.0,3.9978000000000007,4,1,0,1144.72
SKU04014,ST04,STOCKOUT,URGENT,0.0,18.179466666666663,19,1,0,923.02
SKU04015,ST04,STOCKOUT,URGENT,0.0,12.003666666666666,13,1,0,13576.419999999998
SKU04218,ST04,STOCKOUT,URGENT,0.0,10.096866666666669,11,1,0,739.64
SKU04279,ST04,STOCKOUT,URGENT,0.0,10.034,11,1,0,2984.63
SKU04700,ST04,STOCKOUT,URGENT,0.0,12.996666666666666,13,1,0,11896.3
SKU04811,ST04,STOCKOUT,URGENT,0.0,33.35392380952382,34,1,0,6617.759999999999
SKU04959,ST04,STOCKOUT,URGENT,0.0,7.074466666666667,8,1,0,634.48
SKU00057,ST05,STOCKOUT,URGENT,0.0,15.923474603174604,16,1,0,24170.4
SKU00073,ST05,STOCKOUT,URGENT,0.0,18.392466666666664,19,1,0,13387.59
SKU00098,ST05,STOCKOUT,URGENT,0.0,15.916133333333336,16,1,0,3588.16
SKU00214,ST05,STOCKOUT,URGENT,0.0,30.41915714285714,31,1,0,9523.820000000002
SKU00483,ST05,STOCKOUT,URGENT,0.0,11.940333333333331,12,1,0,1213.08
SKU00804,ST05,STOCKOUT,URGENT,0.0,11.923666666666666,12,1,0,893.04
SKU00845,ST05,STOCKOUT,URGENT,0.0,9.2044,31,1,0,15206.12
SKU00916,ST05,STOCKOUT,URGENT,0.0,6.110133333333332,7,1,0,1409.1
SKU01122,ST05,STOCKOUT,URGENT,0.0,20.914247619047607,21,1,0,2172.24
SKU01137,ST05,STOCKOUT,URGENT,0.0,44.09865555555555,45,1,0,35949.15
SKU01150,ST05,STOCKOUT,URGENT,0.0,1.004,2,1,0,313.24
SKU01200,ST05,STOCKOUT,URGENT,0.0,7.993666666666666,8,1,0,5513.12
SKU01519,ST05,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU01577,ST05,STOCKOUT,URGENT,0.0,10.719466666666667,11,1,0,438.24
SKU01944,ST05,STOCKOUT,URGENT,0.0,28.572380952380943,29,1,0,612.77
SKU02034,ST05,STOCKOUT,URGENT,0.0,19.9298,20,1,0,9523.0
SKU02046,ST05,STOCKOUT,URGENT,0.0,17.914942857142858,18,1,0,28653.840000000004
SKU02090,ST05,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU02138,ST05,STOCKOUT,URGENT,0.0,3.0076666666666667,4,1,0,2428.2
SKU02165,ST05,STOCKOUT,URGENT,0.0,32.63241904761904,33,1,0,3367.32
SKU02931,ST05,STOCKOUT,URGENT,0.0,19.109333333333336,20,1,0,1528.1999999999998
SKU03002,ST05,STOCKOUT,URGENT,0.0,5.0076,6,1,0,212.4
SKU03069,ST05,STOCKOUT,URGENT,0.0,25.02062857142857,26,1,0,5583.24
SKU03071,ST05,STOCKOUT,URGENT,0.0,7.098333333333333,8,1,0,5527.6
SKU03532,ST05,STOCKOUT,URGENT,0.0,22.48363809523809,23,1,0,1403.46
SKU03595,ST05,STOCKOUT,URGENT,0.0,12.839533333333334,13,1,0,1250.34
SKU03599,ST05,STOCKOUT,URGENT,0.0,6.013666666666667,7,1,0,890.89
SKU03706,ST05,STOCKOUT,URGENT,0.0,6.006666666666666,7,1,0,10369.8
SKU03775,ST05,STOCKOUT,URGENT,0.0,22.6627,23,1,0,13363.46
SKU04203,ST05,STOCKOUT,URGENT,0.0,22.0624,23,1,0,10274.56
SKU04296,ST05,STOCKOUT,URGENT,0.0,4.9962,5,1,0,1092.8
SKU04385,ST05,STOCKOUT,URGENT,0.0,5.042333333333334,6,1,0,1681.62
SKU04465,ST05,STOCKOUT,URGENT,0.0,8.004,9,1,0,2055.24
SKU04527,ST05,STOCKOUT,URGENT,0.0,13.962666666666664,14,1,0,9919.42
SKU04583,ST05,STOCKOUT,URGENT,0.0,18.106461904761904,19,1,0,12888.27
SKU04668,ST05,STOCKOUT,URGENT,0.0,20.33572380952381,21,1,0,1727.46
SKU04773,ST05,STOCKOUT,URGENT,0.0,16.896233333333335,17,1,0,5144.03
SKU04934,ST05,STOCKOUT,URGENT,0.0,8.999704761904763,9,1,0,1597.05
SKU04991,ST05,STOCKOUT,URGENT,0.0,16.844047619047615,17,1,0,2465.8500000000004
SKU00009,ST06,STOCKOUT,URGENT,0.0,2.998666666666667,3,1,0,534.09
SKU00387,ST06,STOCKOUT,URGENT,0.0,26.418307936507933,27,1,0,11912.13
SKU00397,ST06,STOCKOUT,URGENT,0.0,36.32970952380952,37,1,0,3334.81
SKU00400,ST06,STOCKOUT,URGENT,0.0,45.32771428571428,46,1,0,63532.9
SKU00471,ST06,STOCKOUT,URGENT,0.0,9.074733333333334,10,1,0,2111.6
SKU00503,ST06,STOCKOUT,URGENT,0.0,5.8752,6,1,0,412.02
SKU00548,ST06,STOCKOUT,URGENT,0.0,14.0266,15,1,0,8513.25
SKU00949,ST06,STOCKOUT,URGENT,0.0,12.086,13,1,0,1856.66
SKU01050,ST06,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU01251,ST06,STOCKOUT,URGENT,0.0,8.271819047619047,9,1,0,15794.91
SKU01254,ST06,STOCKOUT,URGENT,0.0,30.270228571428564,31,1,0,2718.39
SKU01259,ST06,STOCKOUT,URGENT,0.0,9.960066666666666,10,1,0,2758.6000000000004
SKU01383,ST06,STOCKOUT,URGENT,0.0,8.975666666666665,9,1,0,1314.9900000000002
SKU01385,ST06,STOCKOUT,URGENT,0.0,13.984876190476191,14,1,0,10957.52
SKU01489,ST06,STOCKOUT,URGENT,0.0,4.514076190476192,5,1,0,420.85
SKU01623,ST06,STOCKOUT,URGENT,0.0,17.124114285714292,18,1,0,6357.42
SKU02058,ST06,STOCKOUT,URGENT,0.0,12.022,13,1,0,4857.32
SKU02281,ST06,STOCKOUT,URGENT,0.0,24.4046,25,1,0,1516.0
SKU02444,ST06,STOCKOUT,URGENT,0.0,25.50162857142856,26,1,0,1094.34
SKU02503,ST06,STOCKOUT,URGENT,0.0,5.019333333333334,26,1,0,5732.74
SKU02575,ST06,STOCKOUT,URGENT,0.0,18.052661904761905,19,1,0,17932.01
SKU02770,ST06,STOCKOUT,URGENT,0.0,13.069666666666668,14,1,0,7112.98
SKU02790,ST06,STOCKOUT,URGENT,0.0,2.970666666666667,3,1,0,154.74
SKU03007,ST06,STOCKOUT,URGENT,0.0,9.210771428571428,10,1,0,17873.1
SKU03015,ST06,STOCKOUT,URGENT,0.0,5.9996,6,1,0,225.96
SKU03223,ST06,STOCKOUT,URGENT,0.0,12.990666666666666,13,1,0,1634.1
SKU03249,ST06,STOCKOUT,URGENT,0.0,16.951133333333335,17,1,0,5088.44
SKU03253,ST06,STOCKOUT,URGENT,0.0,21.797280952380955,22,1,0,1299.3200000000002
SKU03434,ST06,STOCKOUT,URGENT,0.0,41.21826666666669,42,1,0,2774.94
SKU03575,ST06,STOCKOUT,URGENT,0.0,17.86477619047619,18,1,0,1889.1
SKU03607,ST06,STOCKOUT,URGENT,0.0,31.935057142857136,32,1,0,6762.88
SKU03786,ST06,STOCKOUT,URGENT,0.0,23.32768571428572,24,1,0,19167.12
SKU03925,ST06,STOCKOUT,URGENT,0.0,18.16079523809524,19,1,0,2426.11
SKU04099,ST06,STOCKOUT,URGENT,0.0,0.001,1,1,0,1309.53
SKU04313,ST06,STOCKOUT,URGENT,0.0,18.62516190476191,19,1,0,9219.18
SKU04314,ST06,STOCKOUT,URGENT,0.0,39.336666666666666,40,1,0,17210.0
SKU04485,ST06,STOCKOUT,URGENT,0.0,0.0,0,1,0,0.0
SKU04897,ST06,STOCKOUT,URGENT,0.0,1.062,2,1,0,1325.1
SKU04899,ST06,STOCKOUT,URGENT,0.0,5.984066666666667,6,1,0,860.3399999999999
SKU04950,ST06,STOCKOUT,URGENT,0.0,12.017733333333334,13,1,0,3333.98
SKU00228,ST07,STOCKOUT,URGENT,0.0,22.91325714285714,23,1,0,45320.81
SKU00448,ST07,STOCKOUT,URGENT,0.0,12.055,13,1,0,12290.2
SKU00460,ST07,STOCKOUT,URGENT,0.0,15.98,16,1,0,14853.28
SKU00464,ST07,STOCKOUT,URGENT,0.0,19.285266666666665,20,1,0,5712.6
SKU00518,ST07,STOCKOUT,URGENT,0.0,10.846219047619044,11,1,0,2953.06
SKU00561,ST07,STOCKOUT,URGENT,0.0,18.1914,19,1,0,28895.39
SKU00566,ST07,STOCKOUT,URGENT,0.0,3.055333333333333,4,1,0,3406.0
SKU00767,ST07,STOCKOUT,URGENT,0.0,39.89411904761908,40,1,0,8415.599999999999
SKU00777,ST07,STOCKOUT,URGENT,0.0,3.027,4,1,0,1025.24
SKU00809,ST07,STOCKOUT,URGENT,0.0,14.9666,15,1,0,476.7000000000001
SKU00941,ST07,STOCKOUT,URGENT,0.0,10.008333333333336,11,1,0,5135.24
SKU01083,ST07,STOCKOUT,URGENT,0.0,23.1103619047619,24,1,0,6111.36
SKU01216,ST07,STOCKOUT,URGENT,0.0,15.847666666666669,16,1,0,6420.8
SKU01326,ST07,STOCKOUT,URGENT,0.0,11.929819047619048,12,1,0,2093.04
SKU01539,ST07,STOCKOUT,URGENT,0.0,8.010466666666668,9,1,0,2464.47
SKU01632,ST07,STOCKOUT,URGENT,0.0,11.918,12,1,0,3297.7200000000003
SKU01677,ST07,STOCKOUT,URGENT,0.0,6.047266666666668,47,1,0,3486.4600000000005
SKU01685,ST07,STOCKOUT,URGENT,0.0,7.723666666666666,8,1,0,617.52
SKU01698,ST07,STOCKOUT,URGENT,0.0,2.992,3,1,0,726.48
SKU01702,ST07,STOCKOUT,URGENT,0.0,19.7552873015873,20,1,0,3064.6
SKU01885,ST07,STOCKOUT,URGENT,0.0,9.064666666666668,10,1,0,1735.1
SKU02563,ST07,STOCKOUT,URGENT,0.0,10.9808,11,1,0,1207.69
SKU02565,ST07,STOCKOUT,URGENT,0.0,12.865533333333335,13,1,0,1969.76
SKU02849,ST07,STOCKOUT,URGENT,0.0,5.065333333333334,6,1,0,268.26
SKU03116,ST07,STOCKOUT,URGENT,0.0,18.124185714285712,19,1,0,10957.87
SKU03247,ST07,STOCKOUT,URGENT,0.0,12.100266666666668,13,1,0,2629.9
SKU03325,ST07,STOCKOUT,URGENT,0.0,9.921666666666669,10,1,0,363.7
SKU03419,ST07,STOCKOUT,URGENT,0.0,17.823473015873017,18,1,0,8702.460000000001
SKU03490,ST07,STOCKOUT,URGENT,0.0,4.7383285714285694,5,1,0,4095.85
SKU03569,ST07,STOCKOUT,URGENT,0.0,27.32828571428571,28,1,0,54383.0
SKU03756,ST07,STOCKOUT,URGENT,0.0,7.852907936507938,8,1,0,5444.72
SKU04224,ST07,STOCKOUT,URGENT,0.0,11.220109523809526,12,1,0,20409.0
SKU04358,ST07,STOCKOUT,URGENT,0.0,20.4288,21,1,0,5496.54
SKU04444,ST07,STOCKOUT,URGENT,0.0,20.801690476190483,21,1,0,19024.95
