store_id,sku_id,sku_name,category,stock_on_hand,reorder_point,safety_stock,forecast_total_demand,forecast_average_daily_demand,forecast_demand_std,days_of_forecast_coverage,demand_variability_ratio,stockout_risk_flag,overstock_risk_flag,demand_volatility_flag,inventory_status,replenishment_priority,recommended_order_quantity
ST28,SKU04334,FreshFarm Pulses & Lentils 250ml,Grocery,33.0,39.0,11.0,0.0,0.0,0.0,0.0,0.0,1,0,0,REORDER,HIGH,6
ST29,SKU04314,CrispKing OTC Medicine 250ml,Health & Wellness,61.0,74.0,32.0,24.84933968253968,24.84933968253968,0.0,2.454793599318918,0.0,1,0,0,REORDER,HIGH,13
ST30,SKU02121,PremiumSelect Cheese 250g,Dairy & Bakery,31.0,83.0,33.0,28.028071428571423,28.028071428571423,0.0,1.1060340016259211,0.0,1,0,0,CRITICAL,HIGH,52
ST30,SKU02258,HomeStyle Small Appliances 250ml,Electronics & Accessories,55.0,87.0,31.0,35.656261904761905,35.656261904761905,0.0,1.5425060581758496,0.0,1,0,0,REORDER,HIGH,32
ST01,SKU00498,PurePlus Ready Meals 1kg,Frozen Foods,384.0,70.0,20.0,5.011333333333334,5.011333333333334,0.0,76.62631368897165,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU00530,FreshFarm Notebooks 2kg,Stationery & Office,107.0,41.0,16.0,11.433541269841273,11.433541269841273,0.0,9.35843038256558,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU01822,CleanWave Office Supplies Medium,Stationery & Office,290.0,82.0,36.0,22.33422698412698,22.33422698412698,0.0,12.984555060092482,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU01857,ValueChoice Air Fresheners Large,Home Care,83.0,20.0,4.0,27.00810476190476,27.00810476190476,0.0,3.073151586596052,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU02500,EliteHome Eggs Large,Dairy & Bakery,100.0,24.0,7.0,28.85445714285715,28.85445714285715,0.0,3.465669082072984,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU02534,SmartBuy Kids Wear 500g,Apparel & Footwear,275.0,70.0,20.0,29.10670000000001,29.10670000000001,0.0,9.447996509394741,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU02763,TrueTaste Dishwashing 1kg,Home Care,108.0,63.0,15.0,5.045933333333332,5.045933333333332,0.0,21.403374334447545,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU03991,DailyBest Batteries Pack of 6,Electronics & Accessories,200.0,38.0,18.0,13.630333333333336,13.630333333333336,0.0,14.673155462082118,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU04742,QuickBite Ready Meals 100g,Frozen Foods,137.0,65.0,14.0,18.071942857142854,18.071942857142854,0.0,7.580811929462878,0.0,0,1,0,OVERSTOCK,NONE,0
ST01,SKU04955,PureLife Bottled Water 2kg,Beverages,473.0,82.0,24.0,34.23491746031746,34.23491746031746,0.0,13.816303209968769,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU00553,PrimeCare Biscuits & Cookies Pack of 12,Snacks & Confectionery,508.0,90.0,35.0,47.73290952380953,47.73290952380953,0.0,10.64255259249608,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU00589,NovaFresh Mobile Accessories Pack of 12,Electronics & Accessories,284.0,61.0,22.0,5.7975047619047615,5.7975047619047615,0.0,48.98659193281839,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU00706,BasicNeeds Storage & Containers 500ml,Home & Kitchen,421.0,93.0,31.0,10.957933333333331,10.957933333333331,0.0,38.41965334095846,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU00860,FamilyChoice Frozen Vegetables Small,Frozen Foods,94.0,25.0,5.0,5.970333333333333,5.970333333333333,0.0,15.74451454413489,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU01305,CityFresh Frozen Meat 500g,Frozen Foods,30.0,21.0,7.0,19.017333333333333,19.017333333333333,0.0,1.5775082380985768,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU02463,DailyBest Chocolates Small,Snacks & Confectionery,251.0,45.0,20.0,14.983133333333331,14.983133333333331,0.0,16.75217021806743,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU03347,HealthFirst Energy Drinks 250ml,Beverages,165.0,46.0,19.0,5.102333333333333,5.102333333333333,0.0,32.33814594629908,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU03520,PrimeCare Candy Pack of 6,Snacks & Confectionery,337.0,93.0,31.0,16.912,16.912,0.0,19.92667928098392,0.0,0,1,0,OVERSTOCK,NONE,0
ST02,SKU03596,EverydayPlus Writing Instruments Pack of 12,Stationery & Office,84.0,76.0,29.0,23.364052380952383,23.364052380952383,0.0,3.59526672130222,0.0,0,1,0,OVERSTOCK,NONE,0
ST03,SKU00354,PurePlus Home Decor 2kg,Home & Kitchen,477.0,80.0,39.0,16.252871428571428,16.252871428571428,0.0,29.34866014884403,0.0,0,1,0,OVERSTOCK,NONE,0
ST03,SKU00572,QuickBite Writing Instruments Pack of 6,Stationery & Office,198.0,71.0,16.0,29.28070793650793,29.28070793650793,0.0,6.76213158607168,0.0,0,1,0,OVERSTOCK,NONE,0
ST03,SKU01877,HomeStyle Vitamins & Supplements 2kg,Health & Wellness,102.0,30.0,8.0,20.973466666666663,20.973466666666663,0.0,4.863287582405707,0.0,0,1,0,OVERSTOCK,NONE,0
ST03,SKU02365,BasicNeeds Juices 1L,Beverages,134.0,93.0,25.0,19.369450793650792,19.369450793650792,0.0,6.918110452771564,0.0,0,1,0,OVERSTOCK,NONE,0
ST03,SKU02630,CrispKing Pulses & Lentils 100g,Grocery,381.0,86.0,17.0,19.310636507936515,19.310636507936515,0.0,19.73005912277475,0.0,0,1,0,OVERSTOCK,NONE,0
ST03,SKU03139,TrueTaste Chocolates 2L,Snacks & Confectionery,149.0,31.0,14.0,2.128,2.128,0.0,70.0187969924812,0.0,0,1,0,OVERSTOCK,NONE,0
ST03,SKU03177,BasicNeeds Juices Family Pack,Beverages,191.0,62.0,18.0,4.025333333333333,0.4025333333333333,1.2729221674731117,474.49486584961915,3.16227766016838,0,1,1,OVERSTOCK,NONE,0
ST03,SKU03587,SunriseFoods Oral Care Family Pack,Personal Care,99.0,47.0,22.0,28.173900000000007,28.173900000000007,0.0,3.513890515690053,0.0,0,1,0,OVERSTOCK,NONE,0
ST04,SKU00237,UrbanBite Pulses & Lentils Family Pack,Grocery,145.0,45.0,21.0,17.74962857142857,17.74962857142857,0.0,8.169185029223952,0.0,0,1,0,OVERSTOCK,NONE,0
ST04,SKU00649,DailyBest Bread Medium,Dairy & Bakery,320.0,67.0,32.0,12.954000000000002,12.954000000000002,0.0,24.70279450362822,0.0,0,1,0,OVERSTOCK,NONE,0
ST04,SKU01803,PureLife Spices & Seasoning 1L,Grocery,118.0,39.0,9.0,10.049066666666668,10.049066666666668,0.0,11.742384035665001,0.0,0,1,0,OVERSTOCK,NONE,0
ST04,SKU02128,HomeStyle Spices & Seasoning 2L,Grocery,370.0,83.0,17.0,10.998666666666669,10.998666666666669,0.0,33.64044126560795,0.0,0,1,0,OVERSTOCK,NONE,0
ST04,SKU03869,EliteHome Chips & Crisps 250g,Snacks & Confectionery,98.0,33.0,10.0,2.799073015873016,2.799073015873016,0.0,35.011591139016545,0.0,0,1,0,OVERSTOCK,NONE,0
ST04,SKU03931,GreenValley Home Decor 500g,Home & Kitchen,264.0,61.0,13.0,26.13093333333333,26.13093333333333,0.0,10.102968639977142,0.0,0,1,0,OVERSTOCK,NONE,0
ST05,SKU00371,CityFresh Oral Care Medium,Personal Care,350.0,74.0,15.0,32.5699523809524,32.5699523809524,0.0,10.746101065983979,0.0,0,1,0,OVERSTOCK,NONE,0
ST05,SKU02103,MetroBrand Namkeen Medium,Snacks & Confectionery,366.0,93.0,29.0,8.018,8.018,0.0,45.64729358942379,0.0,0,1,0,OVERSTOCK,NONE,0
ST05,SKU04955,PureLife Bottled Water 2kg,Beverages,139.0,44.0,14.0,8.025333333333332,8.025333333333332,0.0,17.320152849310517,0.0,0,1,0,OVERSTOCK,NONE,0
ST05,SKU04979,DailyBest Mobile Accessories 2kg,Electronics & Accessories,76.0,50.0,25.0,3.006,3.006,0.0,25.282767797737858,0.0,0,1,0,OVERSTOCK,NONE,0
ST07,SKU00516,GoldenHarvest Batteries 250g,Electronics & Accessories,227.0,62.0,16.0,20.043676190476184,20.043676190476184,0.0,11.32526777237899,0.0,0,1,0,OVERSTOCK,NONE,0
ST07,SKU01675,ValueChoice Kids Wear 250ml,Apparel & Footwear,439.0,77.0,33.0,16.014266666666668,1.779362962962963,3.5598866834510825,246.71751022005378,2.0006523444341133,0,1,1,OVERSTOCK,NONE,0
ST07,SKU01827,ValueChoice Office Supplies 2kg,Stationery & Office,235.0,49.0,13.0,16.029933333333336,16.029933333333336,0.0,14.66007344592824,0.0,0,1,0,OVERSTOCK,NONE,0
ST07,SKU02620,HomeStyle Office Supplies 1L,Stationery & Office,70.0,65.0,16.0,22.980209523809524,22.980209523809524,0.0,3.046099293719399,0.0,0,1,0,OVERSTOCK,NONE,0
ST07,SKU03493,CityFresh Office Supplies 500g,Stationery & Office,497.0,95.0,38.0,22.058371428571427,22.058371428571427,0.0,22.531128447508756,0.0,0,1,0,OVERSTOCK,NONE,0
ST07,SKU03744,SparkleClean Biscuits & Cookies 2L,Snacks & Confectionery,159.0,47.0,18.0,33.24323968253969,33.24323968253969,0.0,4.782927341570485,0.0,0,1,0,OVERSTOCK,NONE,0
ST07,SKU04491,CrispKing Storage & Containers Small,Home & Kitchen,101.0,20.0,5.0,3.0216666666666665,3.0216666666666665,0.0,33.42526199669057,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU00719,SoftTouch Pest Control 1kg,Home Care,54.0,37.0,9.0,1.1064666666666667,1.1064666666666667,0.0,48.804000723022234,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU00893,FreshFarm Hair Care 2L,Personal Care,54.0,32.0,9.0,9.010333333333332,9.010333333333332,0.0,5.99311901150531,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU02567,GreenValley Air Fresheners Family Pack,Home Care,369.0,91.0,45.0,2.0216666666666665,2.0216666666666665,0.0,182.52267106347898,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU03805,FamilyChoice OTC Medicine Large,Health & Wellness,265.0,71.0,22.0,0.0075333333333333,0.0075333333333333,0.0,35176.991150442635,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU04028,HomeStyle Batteries Small,Electronics & Accessories,204.0,86.0,36.0,8.953666666666669,8.953666666666669,0.0,22.783961877815415,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU04048,GoldenHarvest Juices Pack of 12,Beverages,158.0,47.0,13.0,24.109961904761903,24.109961904761903,0.0,6.5533077415934775,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU04106,EverydayPlus Cheese 250ml,Dairy & Bakery,315.0,57.0,17.0,8.975666666666665,8.975666666666665,0.0,35.09488617372897,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU04228,UrbanBite Yogurt 250g,Dairy & Bakery,215.0,44.0,17.0,0.0,0.0,0.0,0.0,0.0,0,1,0,OVERSTOCK,NONE,0
ST08,SKU04480,ZestyCo Oral Care Family Pack,Personal Care,52.0,28.0,7.0,9.012,9.012,0.0,5.770084332001775,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU00488,PrimeCare Butter & Ghee Family Pack,Dairy & Bakery,47.0,22.0,5.0,5.008666666666667,5.008666666666667,0.0,9.383734859576734,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU00775,PurePlus Candy 2kg,Snacks & Confectionery,86.0,21.0,10.0,33.83806031746031,33.83806031746031,0.0,2.5415168361652314,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU01022,NatureBlend Vitamins & Supplements Medium,Health & Wellness,25.0,25.0,8.0,7.016,7.016,0.0,3.563283922462942,0.0,0,0,0,HEALTHY,NONE,0
ST09,SKU01023,CrispKing Men's Grooming Large,Personal Care,173.0,37.0,12.0,3.122466666666667,3.122466666666667,0.0,55.40491491769327,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU02112,FreshFarm Notebooks 1L,Stationery & Office,290.0,51.0,23.0,17.735857142857146,17.735857142857146,0.0,16.351056374898306,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU03073,PrimeCare Kids Wear 100g,Apparel & Footwear,340.0,63.0,27.0,4.02,4.02,0.0,84.5771144278607,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU03457,PremiumSelect Cheese Medium,Dairy & Bakery,159.0,36.0,11.0,2.9926666666666666,2.9926666666666666,0.0,53.12987302294498,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU03749,PremiumSelect Eggs 250ml,Dairy & Bakery,318.0,97.0,35.0,4.022,4.022,0.0,79.06514172053704,0.0,0,1,0,OVERSTOCK,NONE,0
ST09,SKU03935,PrimeCare Frozen Meat 2kg,Frozen Foods,207.0,46.0,14.0,23.05436666666667,23.05436666666667,0.0,8.978776254968327,0.0,0,1,0,OVERSTOCK,NONE,0
ST10,SKU01058,SmartBuy Small Appliances Pack of 12,Electronics & Accessories,91.0,48.0,20.0,30.432714285714287,2.340978021978022,8.440516292976024,38.872641753000764,3.6055512754639896,0,1,1,OVERSTOCK,NONE,0
ST10,SKU01605,EverydayPlus First Aid 500g,Health & Wellness,320.0,83.0,27.0,20.20699523809524,20.20699523809524,0.0,15.836100134111973,0.0,0,1,0,OVERSTOCK,NONE,0
ST10,SKU02763,TrueTaste Dishwashing 1kg,Home Care,83.0,20.0,8.0,3.9828666666666654,3.9828666666666654,0.0,20.83926150343974,0.0,0,1,0,OVERSTOCK,NONE,0
ST10,SKU03634,ZestyCo Footwear Medium,Apparel & Footwear,254.0,44.0,11.0,19.746366666666678,19.746366666666678,0.0,12.86312587463347,0.0,0,1,0,OVERSTOCK,NONE,0
ST10,SKU04442,CityFresh Pulses & Lentils Pack of 6,Grocery,304.0,56.0,13.0,50.70567741147741,50.70567741147741,0.0,5.995383860726975,0.0,0,1,0,OVERSTOCK,NONE,0
ST10,SKU04856,HomeStyle Office Supplies 1kg,Stationery & Office,213.0,42.0,15.0,5.002666666666667,5.002666666666667,0.0,42.5772921108742,0.0,0,1,0,OVERSTOCK,NONE,0
ST11,SKU00115,QuickBite Office Supplies Family Pack,Stationery & Office,128.0,72.0,28.0,15.02033333333333,15.02033333333333,0.0,8.521781584962609,0.0,0,1,0,OVERSTOCK,NONE,0
ST11,SKU00235,TrueTaste Rice & Grains 1L,Grocery,128.0,61.0,27.0,2.0113333333333334,2.0113333333333334,0.0,63.639376864434865,0.0,0,1,0,OVERSTOCK,NONE,0
ST11,SKU00402,TrueTaste Hair Care 500ml,Personal Care,183.0,43.0,21.0,18.970095238095237,18.970095238095237,0.0,9.646762322653199,0.0,0,1,0,OVERSTOCK,NONE,0
ST11,SKU00734,BasicNeeds Juices 250ml,Beverages,107.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU00171,CityFresh Cheese Small,Dairy & Bakery,113.0,97.0,47.0,6.070333333333334,6.070333333333334,0.0,18.61512272802152,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU01052,MetroBrand Pest Control 500g,Home Care,404.0,78.0,23.0,15.109266666666668,15.109266666666668,0.0,26.738557794554332,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU01674,GreenValley Cookware 1L,Home & Kitchen,117.0,32.0,11.0,10.958333333333334,10.958333333333334,0.0,10.67680608365019,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU01874,SparkleClean OTC Medicine 1L,Health & Wellness,154.0,51.0,24.0,41.48572380952382,41.48572380952382,0.0,3.7121203599356374,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU02084,SoftTouch Bottled Water 2L,Beverages,85.0,63.0,17.0,16.026333333333334,16.026333333333334,0.0,5.303770877098109,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU02179,FreshFarm Cooking Oil Medium,Grocery,177.0,86.0,18.0,10.011933333333332,10.011933333333332,0.0,17.678903175543855,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU02313,NatureBlend Dishwashing 100g,Home Care,81.0,65.0,18.0,19.026066666666665,19.026066666666665,0.0,4.257317154360159,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU02924,GreenValley Women's Wear Large,Apparel & Footwear,108.0,76.0,22.0,4.008666666666667,4.008666666666667,0.0,26.941626475968736,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU03327,CrispKing Frozen Meat 250g,Frozen Foods,105.0,49.0,19.0,15.855461904761906,15.855461904761906,0.0,6.622323627699872,0.0,0,1,0,OVERSTOCK,NONE,0
ST12,SKU04440,QuickBite Cheese 500g,Dairy & Bakery,189.0,99.0,25.0,15.906685714285713,15.906685714285713,0.0,11.881796333617132,0.0,0,1,0,OVERSTOCK,NONE,0
ST13,SKU01651,CrispKing Sugar & Salt 500ml,Grocery,363.0,82.0,31.0,14.2654,14.2654,0.0,25.446184474322486,0.0,0,1,0,OVERSTOCK,NONE,0
ST13,SKU02471,PremiumSelect Home Decor Family Pack,Home & Kitchen,410.0,74.0,28.0,14.993,14.993,0.0,27.346094844260655,0.0,0,1,0,OVERSTOCK,NONE,0
ST13,SKU02907,NovaFresh Kids Wear Large,Apparel & Footwear,289.0,91.0,31.0,3.001333333333333,3.001333333333333,0.0,96.29053753887162,0.0,0,1,0,OVERSTOCK,NONE,0
ST13,SKU03051,ValueChoice Writing Instruments 250ml,Stationery & Office,116.0,88.0,27.0,10.216201587301589,10.216201587301589,0.0,11.354513613375081,0.0,0,1,0,OVERSTOCK,NONE,0
ST13,SKU03090,FreshFarm Cooking Oil Medium,Grocery,255.0,58.0,21.0,6.045933333333334,6.045933333333334,0.0,42.17711078521099,0.0,0,1,0,OVERSTOCK,NONE,0
ST13,SKU04352,ValueChoice Frozen Vegetables Family Pack,Frozen Foods,366.0,62.0,24.0,19.39946666666667,19.39946666666667,0.0,18.8664980480563,0.0,0,1,0,OVERSTOCK,NONE,0
ST14,SKU00309,DailyBest Storage & Containers 250ml,Home & Kitchen,95.0,52.0,20.0,14.83426666666667,14.83426666666667,0.0,6.404091427955094,0.0,0,1,0,OVERSTOCK,NONE,0
ST14,SKU02570,SunriseFoods Soft Drinks 1kg,Beverages,133.0,28.0,11.0,19.02433333333333,19.02433333333333,0.0,6.991046554412771,0.0,0,1,0,OVERSTOCK,NONE,0
ST14,SKU03606,ZestyCo Cheese 500g,Dairy & Bakery,128.0,73.0,16.0,11.270666666666664,11.270666666666664,0.0,11.356914704838522,0.0,0,1,0,OVERSTOCK,NONE,0
ST14,SKU03645,EliteHome Storage & Containers Large,Home & Kitchen,151.0,76.0,25.0,11.011333333333331,11.011333333333331,0.0,13.713144033420114,0.0,0,1,0,OVERSTOCK,NONE,0
ST14,SKU04425,NatureBlend Small Appliances 2L,Electronics & Accessories,404.0,74.0,34.0,6.022333333333334,6.022333333333334,0.0,67.08363314329993,0.0,0,1,0,OVERSTOCK,NONE,0
ST15,SKU01495,SunriseFoods Coffee Large,Beverages,149.0,30.0,7.0,9.907600000000002,9.907600000000002,0.0,15.038959990310465,0.0,0,1,0,OVERSTOCK,NONE,0
ST15,SKU02255,ZestyCo Oral Care 1L,Personal Care,557.0,94.0,41.0,7.024933333333334,7.024933333333334,0.0,79.2890086738664,0.0,0,1,0,OVERSTOCK,NONE,0
ST15,SKU03058,UrbanBite Women's Wear Pack of 12,Apparel & Footwear,99.0,31.0,13.0,9.999666666666668,9.999666666666668,0.0,9.900330011000365,0.0,0,1,0,OVERSTOCK,NONE,0
ST15,SKU03624,PrimeCare Juices Large,Beverages,275.0,70.0,15.0,7.063866666666666,7.063866666666666,0.0,38.93051963985731,0.0,0,1,0,OVERSTOCK,NONE,0
ST15,SKU03655,SparkleClean Flour & Atta 500ml,Grocery,94.0,78.0,27.0,13.364577777777775,13.364577777777775,0.0,7.033518122532866,0.0,0,1,0,OVERSTOCK,NONE,0
ST16,SKU00682,SunriseFoods Chips & Crisps Family Pack,Snacks & Confectionery,496.0,86.0,41.0,26.318622222222213,26.318622222222213,0.0,18.84597133588554,0.0,0,1,0,OVERSTOCK,NONE,0
ST16,SKU00874,ValueChoice Home Decor Pack of 12,Home & Kitchen,320.0,65.0,23.0,9.9668,9.9668,0.0,32.106593891720514,0.0,0,1,0,OVERSTOCK,NONE,0
ST16,SKU02172,PureLife Pulses & Lentils 2kg,Grocery,244.0,53.0,26.0,30.834411111111105,30.834411111111105,0.0,7.913236906673895,0.0,0,1,0,OVERSTOCK,NONE,0
ST16,SKU03375,EliteHome Butter & Ghee Pack of 12,Dairy & Bakery,413.0,84.0,33.0,2.0286666666666666,2.0286666666666666,0.0,203.5819914558002,0.0,0,1,0,OVERSTOCK,NONE,0
ST17,SKU03504,NovaFresh Frozen Vegetables 1L,Frozen Foods,205.0,57.0,28.0,19.030942857142858,19.030942857142858,0.0,10.77193082543767,0.0,0,1,0,OVERSTOCK,NONE,0
