store_id,sku_id,sku_name,category,subcategory,brand,forecast_total_demand,forecast_average_daily_demand,forecast_demand_std,forecast_days,stock_on_hand,reorder_point,safety_stock,days_of_forecast_coverage,stock_above_reorder,stock_above_safety,stockout_risk_flag,overstock_risk_flag,demand_volatility_flag,inventory_status,replenishment_priority,recommended_order_quantity,unit_price,cost_price,inventory_cost_value,inventory_retail_value,estimated_replenishment_cost,estimated_replenishment_retail_value,last_restock_date
ST11,SKU03563,HealthFirst Footwear Small,Apparel & Footwear,Footwear,HealthFirst,2.987,2.987,0.0,1,13.0,68.0,14.0,4.352192835621024,-55.0,-1.0,1,0,0,CRITICAL,HIGH,55,793.38,478.46,6219.98,10313.94,26315.3,43635.9,2025-12-24
ST12,SKU01506,GoldenHarvest Candy 2L,Snacks & Confectionery,Candy,GoldenHarvest,24.394066666666664,0.554410606060606,3.677543920193135,44,72.0,91.0,32.0,129.8676454110426,-19.0,40.0,1,0,1,REORDER,HIGH,19,160.9,105.41,7589.5199999999995,11584.800000000001,2002.79,3057.1,2025-12-14
ST12,SKU01885,EverydayPlus Office Supplies 1kg,Stationery & Office,Office Supplies,EverydayPlus,7.014666666666667,7.014666666666667,0.0,1,31.0,38.0,10.0,4.419311917886334,-7.0,21.0,1,0,0,REORDER,HIGH,7,307.39,173.51,5378.8099999999995,9529.09,1214.57,2151.73,2025-11-08
ST12,SKU03597,GreenValley Laundry 500g,Home Care,Laundry,GreenValley,16.048700000000004,16.048700000000004,0.0,1,22.0,23.0,5.0,1.3708275436639725,-1.0,17.0,1,0,0,REORDER,HIGH,1,411.9,260.31,5726.82,9061.8,260.31,411.9,2025-12-30
ST13,SKU04680,QuickBite Dishwashing 2kg,Home Care,Dishwashing,QuickBite,9.023428571428571,9.023428571428571,0.0,1,22.0,52.0,13.0,2.438097650560446,-30.0,9.0,1,0,0,REORDER,HIGH,30,142.59,79.19,1742.1799999999998,3136.98,2375.7,4277.7,2025-12-20
ST14,SKU00714,EverydayPlus Men's Wear 2L,Apparel & Footwear,Men's Wear,EverydayPlus,13.8555,13.8555,0.0,1,23.0,28.0,11.0,1.6599906174443362,-5.0,12.0,1,0,0,REORDER,HIGH,5,1659.76,1305.17,30018.910000000003,38174.48,6525.85,8298.8,2025-11-25
ST15,SKU02649,ValueChoice Batteries Large,Electronics & Accessories,Batteries,ValueChoice,2.008,2.008,0.0,1,2.0,69.0,15.0,0.9960159362549801,-67.0,-13.0,1,0,0,CRITICAL,HIGH,67,1521.83,988.46,1976.92,3043.66,66226.82,101962.61,2025-12-28
ST15,SKU02863,FamilyChoice Rice & Grains Medium,Grocery,Rice & Grains,FamilyChoice,0.0,0.0,0.0,1,75.0,80.0,34.0,0.0,-5.0,41.0,1,0,0,REORDER,HIGH,5,110.89,83.13,6234.75,8316.75,415.65,554.45,2025-11-03
ST16,SKU02606,FamilyChoice Home Decor Pack of 12,Home & Kitchen,Home Decor,FamilyChoice,17.098980952380956,17.098980952380956,0.0,1,19.0,30.0,15.0,1.1111773299773362,-11.0,4.0,1,0,0,REORDER,HIGH,11,1572.99,909.2,17274.8,29886.81,10001.2,17302.89,2025-12-07
ST17,SKU01718,GoldenHarvest Men's Wear Pack of 6,Apparel & Footwear,Men's Wear,GoldenHarvest,31.424271428571416,31.424271428571416,0.0,1,35.0,63.0,21.0,1.1137887501880943,-28.0,14.0,1,0,0,REORDER,HIGH,28,1752.89,1265.97,44308.950000000004,61351.15,35447.16,49080.920000000006,2025-11-18
ST17,SKU02488,SunriseFoods Small Appliances Small,Electronics & Accessories,Small Appliances,SunriseFoods,49.35130476190475,49.35130476190475,0.0,1,18.0,79.0,36.0,0.36473199820837476,-61.0,-18.0,1,0,0,CRITICAL,HIGH,61,3504.3,2419.46,43550.28,63077.4,147587.06,213762.30000000002,2025-12-02
ST18,SKU03940,NatureBlend Writing Instruments 2L,Stationery & Office,Writing Instruments,NatureBlend,6.280399999999999,6.280399999999999,0.0,1,33.0,42.0,16.0,5.254442392204319,-9.0,17.0,1,0,0,REORDER,HIGH,9,235.21,138.12,4557.96,7761.93,1243.08,2116.89,2025-12-12
ST19,SKU00338,GoldenHarvest Ready Meals Large,Frozen Foods,Ready Meals,GoldenHarvest,3.023,3.023,0.0,1,1.0,28.0,12.0,0.33079722130334105,-27.0,-11.0,1,0,0,CRITICAL,HIGH,27,741.21,477.83,477.83,741.21,12901.41,20012.670000000002,2025-12-22
ST19,SKU01617,SparkleClean Ice Cream Medium,Frozen Foods,Ice Cream,SparkleClean,8.996533333333334,8.996533333333334,0.0,1,70.0,93.0,31.0,7.7807748169665345,-23.0,39.0,1,0,0,REORDER,HIGH,23,182.51,125.26,8768.2,12775.699999999999,2880.98,4197.73,2025-11-06
ST19,SKU02433,SmartBuy Eggs 1kg,Dairy & Bakery,Eggs,SmartBuy,18.088438095238097,18.088438095238097,0.0,1,24.0,46.0,17.0,1.3268143923558642,-22.0,7.0,1,0,0,REORDER,HIGH,22,89.32,69.88,1677.12,2143.68,1537.36,1965.04,2025-11-26
ST21,SKU04632,GoldenHarvest Vitamins & Supplements 2L,Health & Wellness,Vitamins & Supplements,GoldenHarvest,7.009333333333334,7.009333333333334,0.0,1,25.0,72.0,33.0,3.5666730074186797,-47.0,-8.0,1,0,0,CRITICAL,HIGH,47,892.4,665.59,16639.75,22310.0,31282.730000000003,41942.799999999996,2025-11-11
ST22,SKU01590,HomeStyle Chocolates 250g,Snacks & Confectionery,Chocolates,HomeStyle,49.5326619047619,49.5326619047619,0.0,1,47.0,54.0,20.0,0.948868851231304,-7.0,27.0,1,0,0,REORDER,HIGH,7,92.68,64.45,3029.15,4355.96,451.15000000000003,648.76,2025-11-01
ST22,SKU02265,DailyBest Hair Care 2L,Personal Care,Hair Care,DailyBest,6.993333333333334,6.993333333333334,0.0,1,41.0,60.0,25.0,5.862726406101048,-19.0,16.0,1,0,0,REORDER,HIGH,19,846.76,518.56,21260.96,34717.159999999996,9852.64,16088.44,2025-12-31
ST22,SKU03955,MetroBrand Pulses & Lentils 500g,Grocery,Pulses & Lentils,MetroBrand,4.656557142857142,4.656557142857142,0.0,1,34.0,37.0,10.0,7.301531787740177,-3.0,24.0,1,0,0,REORDER,HIGH,3,499.04,287.09,9761.06,16967.36,861.27,1497.1200000000001,2025-12-24
ST23,SKU00623,QuickBite Cooking Oil Small,Grocery,Cooking Oil,QuickBite,9.125,9.125,0.0,1,27.0,30.0,6.0,2.958904109589041,-3.0,21.0,1,0,0,REORDER,HIGH,3,297.85,206.81,5583.87,8041.950000000001,620.4300000000001,893.5500000000001,2025-11-27
ST24,SKU00076,TrueTaste Butter & Ghee Pack of 12,Dairy & Bakery,Butter & Ghee,TrueTaste,16.971,16.971,0.0,1,33.0,35.0,14.0,1.9444935478168641,-2.0,19.0,1,0,0,REORDER,HIGH,2,306.25,220.42,7273.86,10106.25,440.84,612.5,2025-12-11
ST25,SKU03943,UrbanBite Bath & Body 2kg,Personal Care,Bath & Body,UrbanBite,3.007,3.007,0.0,1,38.0,86.0,34.0,12.637179913535084,-48.0,4.0,1,0,0,REORDER,HIGH,48,216.19,124.71,4738.98,8215.22,5986.08,10377.119999999999,2025-12-04
ST28,SKU04334,FreshFarm Pulses & Lentils 250ml,Grocery,Pulses & Lentils,FreshFarm,0.0,0.0,0.0,1,33.0,39.0,11.0,0.0,-6.0,22.0,1,0,0,REORDER,HIGH,6,287.82,222.77,7351.410000000001,9498.06,1336.6200000000001,1726.92,2025-11-11
ST29,SKU04314,CrispKing OTC Medicine 250ml,Health & Wellness,OTC Medicine,CrispKing,24.84933968253968,24.84933968253968,0.0,1,61.0,74.0,32.0,2.454793599318918,-13.0,29.0,1,0,0,REORDER,HIGH,13,567.99,430.25,26245.25,34647.39,5593.25,7383.87,2025-12-24
ST30,SKU02121,PremiumSelect Cheese 250g,Dairy & Bakery,Cheese,PremiumSelect,28.028071428571423,28.028071428571423,0.0,1,31.0,83.0,33.0,1.1060340016259211,-52.0,-2.0,1,0,0,CRITICAL,HIGH,52,217.94,128.28,3976.68,6756.14,6670.56,11332.88,2025-11-08
ST30,SKU02258,HomeStyle Small Appliances 250ml,Electronics & Accessories,Small Appliances,HomeStyle,35.656261904761905,35.656261904761905,0.0,1,55.0,87.0,31.0,1.5425060581758496,-32.0,24.0,1,0,0,REORDER,HIGH,32,2619.48,1723.14,94772.70000000001,144071.4,55140.48,83823.36,2025-12-19
ST01,SKU00498,PurePlus Ready Meals 1kg,Frozen Foods,Ready Meals,PurePlus,5.011333333333334,5.011333333333334,0.0,1,384.0,70.0,20.0,76.62631368897165,314.0,364.0,0,1,0,OVERSTOCK,NONE,0,564.17,405.25,155616.0,216641.27999999997,0.0,0.0,2025-08-21
ST01,SKU00530,FreshFarm Notebooks 2kg,Stationery & Office,Notebooks,FreshFarm,11.433541269841273,11.433541269841273,0.0,1,107.0,41.0,16.0,9.35843038256558,66.0,91.0,0,1,0,OVERSTOCK,NONE,0,66.34,38.38,4106.66,7098.38,0.0,0.0,2025-12-03
ST01,SKU01822,CleanWave Office Supplies Medium,Stationery & Office,Office Supplies,CleanWave,22.33422698412698,22.33422698412698,0.0,1,290.0,82.0,36.0,12.984555060092482,208.0,254.0,0,1,0,OVERSTOCK,NONE,0,191.35,105.39,30563.1,55491.5,0.0,0.0,2025-06-04
ST01,SKU01857,ValueChoice Air Fresheners Large,Home Care,Air Fresheners,ValueChoice,27.00810476190476,27.00810476190476,0.0,1,83.0,20.0,4.0,3.073151586596052,63.0,79.0,0,1,0,OVERSTOCK,NONE,0,250.66,197.44,16387.52,20804.78,0.0,0.0,2025-05-22
ST01,SKU02500,EliteHome Eggs Large,Dairy & Bakery,Eggs,EliteHome,28.85445714285715,28.85445714285715,0.0,1,100.0,24.0,7.0,3.465669082072984,76.0,93.0,0,1,0,OVERSTOCK,NONE,0,204.09,112.45,11245.0,20409.0,0.0,0.0,2025-07-11
ST01,SKU02534,SmartBuy Kids Wear 500g,Apparel & Footwear,Kids Wear,SmartBuy,29.10670000000001,29.10670000000001,0.0,1,275.0,70.0,20.0,9.447996509394741,205.0,255.0,0,1,0,OVERSTOCK,NONE,0,835.09,662.82,182275.5,229649.75,0.0,0.0,2025-08-26
ST01,SKU02763,TrueTaste Dishwashing 1kg,Home Care,Dishwashing,TrueTaste,5.045933333333332,5.045933333333332,0.0,1,108.0,63.0,15.0,21.403374334447545,45.0,93.0,0,1,0,OVERSTOCK,NONE,0,121.73,96.74,10447.92,13146.84,0.0,0.0,2025-12-06
ST01,SKU03991,DailyBest Batteries Pack of 6,Electronics & Accessories,Batteries,DailyBest,13.630333333333336,13.630333333333336,0.0,1,200.0,38.0,18.0,14.673155462082118,162.0,182.0,0,1,0,OVERSTOCK,NONE,0,2711.33,1728.69,345738.0,542266.0,0.0,0.0,2025-05-21
ST01,SKU04742,QuickBite Ready Meals 100g,Frozen Foods,Ready Meals,QuickBite,18.071942857142854,18.071942857142854,0.0,1,137.0,65.0,14.0,7.580811929462878,72.0,123.0,0,1,0,OVERSTOCK,NONE,0,362.06,208.54,28569.98,49602.22,0.0,0.0,2025-11-27
ST01,SKU04955,PureLife Bottled Water 2kg,Beverages,Bottled Water,PureLife,34.23491746031746,34.23491746031746,0.0,1,473.0,82.0,24.0,13.816303209968769,391.0,449.0,0,1,0,OVERSTOCK,NONE,0,186.3,144.34,68272.82,88119.90000000001,0.0,0.0,2025-08-14
ST02,SKU00553,PrimeCare Biscuits & Cookies Pack of 12,Snacks & Confectionery,Biscuits & Cookies,PrimeCare,47.73290952380953,47.73290952380953,0.0,1,508.0,90.0,35.0,10.64255259249608,418.0,473.0,0,1,0,OVERSTOCK,NONE,0,159.88,119.27,60589.159999999996,81219.04,0.0,0.0,2025-07-20
ST02,SKU00589,NovaFresh Mobile Accessories Pack of 12,Electronics & Accessories,Mobile Accessories,NovaFresh,5.7975047619047615,5.7975047619047615,0.0,1,284.0,61.0,22.0,48.98659193281839,223.0,262.0,0,1,0,OVERSTOCK,NONE,0,529.72,313.88,89141.92,150440.48,0.0,0.0,2025-08-07
ST02,SKU00706,BasicNeeds Storage & Containers 500ml,Home & Kitchen,Storage & Containers,BasicNeeds,10.957933333333331,10.957933333333331,0.0,1,421.0,93.0,31.0,38.41965334095846,328.0,390.0,0,1,0,OVERSTOCK,NONE,0,997.3,670.07,282099.47000000003,419863.3,0.0,0.0,2025-06-12
ST02,SKU00860,FamilyChoice Frozen Vegetables Small,Frozen Foods,Frozen Vegetables,FamilyChoice,5.970333333333333,5.970333333333333,0.0,1,94.0,25.0,5.0,15.74451454413489,69.0,89.0,0,1,0,OVERSTOCK,NONE,0,680.17,393.43,36982.42,63935.979999999996,0.0,0.0,2025-07-04
ST02,SKU01305,CityFresh Frozen Meat 500g,Frozen Foods,Frozen Meat,CityFresh,19.017333333333333,19.017333333333333,0.0,1,30.0,21.0,7.0,1.5775082380985768,9.0,23.0,0,1,0,OVERSTOCK,NONE,0,741.4,533.96,16018.800000000001,22242.0,0.0,0.0,2025-12-25
ST02,SKU02463,DailyBest Chocolates Small,Snacks & Confectionery,Chocolates,DailyBest,14.983133333333331,14.983133333333331,0.0,1,251.0,45.0,20.0,16.75217021806743,206.0,231.0,0,1,0,OVERSTOCK,NONE,0,68.74,53.53,13436.03,17253.739999999998,0.0,0.0,2025-06-05
ST02,SKU03347,HealthFirst Energy Drinks 250ml,Beverages,Energy Drinks,HealthFirst,5.102333333333333,5.102333333333333,0.0,1,165.0,46.0,19.0,32.33814594629908,119.0,146.0,0,1,0,OVERSTOCK,NONE,0,90.7,53.1,8761.5,14965.5,0.0,0.0,2025-05-11
ST02,SKU03520,PrimeCare Candy Pack of 6,Snacks & Confectionery,Candy,PrimeCare,16.912,16.912,0.0,1,337.0,93.0,31.0,19.92667928098392,244.0,306.0,0,1,0,OVERSTOCK,NONE,0,101.31,72.21,24334.769999999997,34141.47,0.0,0.0,2025-07-05
ST02,SKU03596,EverydayPlus Writing Instruments Pack of 12,Stationery & Office,Writing Instruments,EverydayPlus,23.364052380952383,23.364052380952383,0.0,1,84.0,76.0,29.0,3.59526672130222,8.0,55.0,0,1,0,OVERSTOCK,NONE,0,222.89,162.76,13671.84,18722.76,0.0,0.0,2025-11-08
ST03,SKU00354,PurePlus Home Decor 2kg,Home & Kitchen,Home Decor,PurePlus,16.252871428571428,16.252871428571428,0.0,1,477.0,80.0,39.0,29.34866014884403,397.0,438.0,0,1,0,OVERSTOCK,NONE,0,1108.74,680.1,324407.7,528868.98,0.0,0.0,2025-06-25
ST03,SKU00572,QuickBite Writing Instruments Pack of 6,Stationery & Office,Writing Instruments,QuickBite,29.28070793650793,29.28070793650793,0.0,1,198.0,71.0,16.0,6.76213158607168,127.0,182.0,0,1,0,OVERSTOCK,NONE,0,299.2,201.78,39952.44,59241.6,0.0,0.0,2025-12-11
ST03,SKU01877,HomeStyle Vitamins & Supplements 2kg,Health & Wellness,Vitamins & Supplements,HomeStyle,20.973466666666663,20.973466666666663,0.0,1,102.0,30.0,8.0,4.863287582405707,72.0,94.0,0,1,0,OVERSTOCK,NONE,0,1306.98,939.87,95866.74,133311.96,0.0,0.0,2025-05-30
ST03,SKU02365,BasicNeeds Juices 1L,Beverages,Juices,BasicNeeds,19.369450793650792,19.369450793650792,0.0,1,134.0,93.0,25.0,6.918110452771564,41.0,109.0,0,1,0,OVERSTOCK,NONE,0,138.08,102.33,13712.22,18502.72,0.0,0.0,2025-12-11
ST03,SKU02630,CrispKing Pulses & Lentils 100g,Grocery,Pulses & Lentils,CrispKing,19.310636507936515,19.310636507936515,0.0,1,381.0,86.0,17.0,19.73005912277475,295.0,364.0,0,1,0,OVERSTOCK,NONE,0,257.78,181.91,69307.70999999999,98214.18,0.0,0.0,2025-08-11
ST03,SKU03139,TrueTaste Chocolates 2L,Snacks & Confectionery,Chocolates,TrueTaste,2.128,2.128,0.0,1,149.0,31.0,14.0,70.0187969924812,118.0,135.0,0,1,0,OVERSTOCK,NONE,0,39.88,29.62,4413.38,5942.120000000001,0.0,0.0,2025-07-02
ST03,SKU03177,BasicNeeds Juices Family Pack,Beverages,Juices,BasicNeeds,4.025333333333333,0.4025333333333333,1.2729221674731117,10,191.0,62.0,18.0,474.49486584961915,129.0,173.0,0,1,1,OVERSTOCK,NONE,0,60.33,35.78,6833.9800000000005,11523.029999999999,0.0,0.0,2025-07-21
ST03,SKU03587,SunriseFoods Oral Care Family Pack,Personal Care,Oral Care,SunriseFoods,28.173900000000007,28.173900000000007,0.0,1,99.0,47.0,22.0,3.513890515690053,52.0,77.0,0,1,0,OVERSTOCK,NONE,0,252.72,153.79,15225.21,25019.28,0.0,0.0,2025-12-11
ST04,SKU00237,UrbanBite Pulses & Lentils Family Pack,Grocery,Pulses & Lentils,UrbanBite,17.74962857142857,17.74962857142857,0.0,1,145.0,45.0,21.0,8.169185029223952,100.0,124.0,0,1,0,OVERSTOCK,NONE,0,95.24,75.42,10935.9,13809.8,0.0,0.0,2025-05-28
ST04,SKU00649,DailyBest Bread Medium,Dairy & Bakery,Bread,DailyBest,12.954000000000002,12.954000000000002,0.0,1,320.0,67.0,32.0,24.70279450362822,253.0,288.0,0,1,0,OVERSTOCK,NONE,0,330.24,256.82,82182.4,105676.8,0.0,0.0,2025-07-11
ST04,SKU01803,PureLife Spices & Seasoning 1L,Grocery,Spices & Seasoning,PureLife,10.049066666666668,10.049066666666668,0.0,1,118.0,39.0,9.0,11.742384035665001,79.0,109.0,0,1,0,OVERSTOCK,NONE,0,316.1,189.07,22310.26,37299.8,0.0,0.0,2025-05-18
ST04,SKU02128,HomeStyle Spices & Seasoning 2L,Grocery,Spices & Seasoning,HomeStyle,10.998666666666669,10.998666666666669,0.0,1,370.0,83.0,17.0,33.64044126560795,287.0,353.0,0,1,0,OVERSTOCK,NONE,0,184.2,144.28,53383.6,68154.0,0.0,0.0,2025-06-24
ST04,SKU03869,EliteHome Chips & Crisps 250g,Snacks & Confectionery,Chips & Crisps,EliteHome,2.799073015873016,2.799073015873016,0.0,1,98.0,33.0,10.0,35.011591139016545,65.0,88.0,0,1,0,OVERSTOCK,NONE,0,109.56,73.46,7199.079999999999,10736.880000000001,0.0,0.0,2025-12-01
ST04,SKU03931,GreenValley Home Decor 500g,Home & Kitchen,Home Decor,GreenValley,26.13093333333333,26.13093333333333,0.0,1,264.0,61.0,13.0,10.102968639977142,203.0,251.0,0,1,0,OVERSTOCK,NONE,0,1536.0,950.89,251034.96,405504.0,0.0,0.0,2025-05-08
ST05,SKU00371,CityFresh Oral Care Medium,Personal Care,Oral Care,CityFresh,32.5699523809524,32.5699523809524,0.0,1,350.0,74.0,15.0,10.746101065983979,276.0,335.0,0,1,0,OVERSTOCK,NONE,0,515.75,373.02,130557.0,180512.5,0.0,0.0,2025-07-16
ST05,SKU02103,MetroBrand Namkeen Medium,Snacks & Confectionery,Namkeen,MetroBrand,8.018,8.018,0.0,1,366.0,93.0,29.0,45.64729358942379,273.0,337.0,0,1,0,OVERSTOCK,NONE,0,113.18,85.58,31322.28,41423.880000000005,0.0,0.0,2025-06-22
ST05,SKU04955,PureLife Bottled Water 2kg,Beverages,Bottled Water,PureLife,8.025333333333332,8.025333333333332,0.0,1,139.0,44.0,14.0,17.320152849310517,95.0,125.0,0,1,0,OVERSTOCK,NONE,0,186.3,144.34,20063.260000000002,25895.7,0.0,0.0,2025-08-03
ST05,SKU04979,DailyBest Mobile Accessories 2kg,Electronics & Accessories,Mobile Accessories,DailyBest,3.006,3.006,0.0,1,76.0,50.0,25.0,25.282767797737858,26.0,51.0,0,1,0,OVERSTOCK,NONE,0,403.4,311.39,23665.64,30658.399999999998,0.0,0.0,2025-12-23
ST07,SKU00516,GoldenHarvest Batteries 250g,Electronics & Accessories,Batteries,GoldenHarvest,20.043676190476184,20.043676190476184,0.0,1,227.0,62.0,16.0,11.32526777237899,165.0,211.0,0,1,0,OVERSTOCK,NONE,0,2155.25,1441.14,327138.78,489241.75,0.0,0.0,2025-07-28
ST07,SKU01675,ValueChoice Kids Wear 250ml,Apparel & Footwear,Kids Wear,ValueChoice,16.014266666666668,1.779362962962963,3.5598866834510825,9,439.0,77.0,33.0,246.71751022005378,362.0,406.0,0,1,1,OVERSTOCK,NONE,0,922.38,532.89,233938.71,404924.82,0.0,0.0,2025-05-07
ST07,SKU01827,ValueChoice Office Supplies 2kg,Stationery & Office,Office Supplies,ValueChoice,16.029933333333336,16.029933333333336,0.0,1,235.0,49.0,13.0,14.66007344592824,186.0,222.0,0,1,0,OVERSTOCK,NONE,0,270.58,167.65,39397.75,63586.299999999996,0.0,0.0,2025-06-06
ST07,SKU02620,HomeStyle Office Supplies 1L,Stationery & Office,Office Supplies,HomeStyle,22.980209523809524,22.980209523809524,0.0,1,70.0,65.0,16.0,3.046099293719399,5.0,54.0,0,1,0,OVERSTOCK,NONE,0,248.89,192.12,13448.4,17422.3,0.0,0.0,2025-12-04
ST07,SKU03493,CityFresh Office Supplies 500g,Stationery & Office,Office Supplies,CityFresh,22.058371428571427,22.058371428571427,0.0,1,497.0,95.0,38.0,22.531128447508756,402.0,459.0,0,1,0,OVERSTOCK,NONE,0,216.47,120.23,59754.310000000005,107585.59,0.0,0.0,2025-08-20
ST07,SKU03744,SparkleClean Biscuits & Cookies 2L,Snacks & Confectionery,Biscuits & Cookies,SparkleClean,33.24323968253969,33.24323968253969,0.0,1,159.0,47.0,18.0,4.782927341570485,112.0,141.0,0,1,0,OVERSTOCK,NONE,0,72.29,56.86,9040.74,11494.11,0.0,0.0,2025-06-15
ST07,SKU04491,CrispKing Storage & Containers Small,Home & Kitchen,Storage & Containers,CrispKing,3.0216666666666665,3.0216666666666665,0.0,1,101.0,20.0,5.0,33.42526199669057,81.0,96.0,0,1,0,OVERSTOCK,NONE,0,1022.9,686.53,69339.53,103312.9,0.0,0.0,2025-07-06
ST08,SKU00719,SoftTouch Pest Control 1kg,Home Care,Pest Control,SoftTouch,1.1064666666666667,1.1064666666666667,0.0,1,54.0,37.0,9.0,48.804000723022234,17.0,45.0,0,1,0,OVERSTOCK,NONE,0,238.41,187.57,10128.779999999999,12874.14,0.0,0.0,2025-12-11
ST08,SKU00893,FreshFarm Hair Care 2L,Personal Care,Hair Care,FreshFarm,9.010333333333332,9.010333333333332,0.0,1,54.0,32.0,9.0,5.99311901150531,22.0,45.0,0,1,0,OVERSTOCK,NONE,0,690.66,488.07,26355.78,37295.64,0.0,0.0,2025-11-08
ST08,SKU02567,GreenValley Air Fresheners Family Pack,Home Care,Air Fresheners,GreenValley,2.0216666666666665,2.0216666666666665,0.0,1,369.0,91.0,45.0,182.52267106347898,278.0,324.0,0,1,0,OVERSTOCK,NONE,0,372.0,234.63,86578.47,137268.0,0.0,0.0,2025-08-24
ST08,SKU03805,FamilyChoice OTC Medicine Large,Health & Wellness,OTC Medicine,FamilyChoice,0.0075333333333333,0.0075333333333333,0.0,1,265.0,71.0,22.0,35176.991150442635,194.0,243.0,0,1,0,OVERSTOCK,NONE,0,1279.53,962.72,255120.80000000002,339075.45,0.0,0.0,2025-05-22
ST08,SKU04028,HomeStyle Batteries Small,Electronics & Accessories,Batteries,HomeStyle,8.953666666666669,8.953666666666669,0.0,1,204.0,86.0,36.0,22.783961877815415,118.0,168.0,0,1,0,OVERSTOCK,NONE,0,2080.9,1621.46,330777.84,424503.60000000003,0.0,0.0,2025-12-21
ST08,SKU04048,GoldenHarvest Juices Pack of 12,Beverages,Juices,GoldenHarvest,24.109961904761903,24.109961904761903,0.0,1,158.0,47.0,13.0,6.5533077415934775,111.0,145.0,0,1,0,OVERSTOCK,NONE,0,89.34,70.63,11159.539999999999,14115.720000000001,0.0,0.0,2025-07-30
ST08,SKU04106,EverydayPlus Cheese 250ml,Dairy & Bakery,Cheese,EverydayPlus,8.975666666666665,8.975666666666665,0.0,1,315.0,57.0,17.0,35.09488617372897,258.0,298.0,0,1,0,OVERSTOCK,NONE,0,92.02,64.75,20396.25,28986.3,0.0,0.0,2025-07-22
