sku_id,flag,affected_stores,window_start,window_end,notes
SKU00845,STOCKOUT_RISK,ST27;ST03;ST01;ST10;ST05;ST25;ST07;ST21;ST09;ST26;ST11;ST30;ST29;ST06,2025-10-29,2025-11-24,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04166,STOCKOUT_RISK,ST19;ST08;ST12;ST01;ST14;ST07;ST10;ST11;ST13;ST15;ST17;ST29;ST03;ST18;ST22;ST09,2025-10-31,2025-11-10,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04329,STOCKOUT_RISK,ST30;ST10;ST21;ST26;ST22;ST24;ST16;ST27;ST17;ST08;ST28;ST18;ST03;ST23;ST14;ST01,2025-11-02,2025-11-25,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02368,STOCKOUT_RISK,ST21;ST03;ST05;ST01;ST12;ST17;ST26;ST09;ST25;ST24,2025-11-27,2025-12-19,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00002,STOCKOUT_RISK,ST12;ST29;ST16;ST05;ST01;ST04;ST17;ST14;ST22;ST19;ST20;ST07;ST15;ST24;ST25;ST06;ST23;ST27,2025-11-08,2025-12-06,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01189,STOCKOUT_RISK,ST18;ST22;ST02;ST21;ST09;ST11;ST03;ST20;ST23;ST27;ST25;ST01;ST26;ST13;ST07,2025-11-07,2025-12-05,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00264,STOCKOUT_RISK,ST22;ST11;ST19;ST05;ST14;ST30;ST13;ST02;ST12;ST04;ST15;ST03;ST26;ST16;ST20,2025-11-19,2025-12-02,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04350,STOCKOUT_RISK,ST29;ST28;ST15;ST06;ST18;ST13;ST05;ST23;ST08;ST19;ST12;ST25;ST20;ST26;ST16;ST03,2025-11-19,2025-12-11,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04508,STOCKOUT_RISK,ST22;ST07;ST03;ST04;ST24;ST27;ST10;ST18;ST20;ST26;ST06;ST09,2025-10-29,2025-11-14,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03840,STOCKOUT_RISK,ST14;ST26;ST08;ST09;ST17;ST04;ST11;ST28;ST03,2025-10-21,2025-11-15,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02892,STOCKOUT_RISK,ST12;ST25;ST14;ST19;ST10;ST29;ST26;ST22;ST23;ST15;ST08;ST18;ST06,2025-10-22,2025-11-18,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04551,STOCKOUT_RISK,ST04;ST13;ST26;ST11;ST18;ST27;ST19;ST30;ST07;ST16;ST09;ST05;ST21;ST23;ST12,2025-10-26,2025-11-09,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00376,STOCKOUT_RISK,ST16;ST23;ST22;ST17;ST05;ST13;ST18;ST07;ST21;ST08;ST25;ST26;ST14;ST04;ST06,2025-11-14,2025-11-29,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00920,STOCKOUT_RISK,ST25;ST04;ST08;ST19;ST20;ST12;ST01;ST05;ST09;ST29;ST07;ST30;ST18;ST03;ST11;ST24;ST06,2025-10-30,2025-11-14,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01037,STOCKOUT_RISK,ST30;ST21;ST09;ST18;ST02;ST10;ST11;ST20;ST08;ST12;ST06;ST24;ST26;ST03;ST05;ST29,2025-11-18,2025-12-14,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04926,STOCKOUT_RISK,ST11;ST26;ST17;ST29;ST04;ST27;ST25;ST15;ST02;ST07;ST05,2025-12-07,2025-12-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02747,STOCKOUT_RISK,ST30;ST15;ST14;ST26;ST11;ST01;ST13;ST10;ST21;ST18;ST02;ST24;ST03,2025-11-14,2025-12-05,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00893,STOCKOUT_RISK,ST22;ST23;ST19;ST09;ST12;ST16;ST03;ST17;ST14;ST10,2025-11-25,2025-12-09,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03907,STOCKOUT_RISK,ST20;ST13;ST30;ST29;ST14;ST06;ST09;ST07;ST16;ST22;ST08;ST28;ST11;ST18;ST21;ST05,2025-10-31,2025-11-29,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04157,STOCKOUT_RISK,ST18;ST13;ST23;ST17;ST19;ST21;ST27;ST30;ST20;ST06;ST26;ST25;ST24;ST28;ST29;ST14,2025-11-20,2025-12-04,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01274,STOCKOUT_RISK,ST25;ST20;ST23;ST29;ST10;ST09;ST02;ST19;ST24;ST08;ST12;ST15,2025-11-21,2025-12-02,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04913,STOCKOUT_RISK,ST20;ST24;ST08;ST02;ST18;ST26;ST30;ST12;ST27;ST04;ST06;ST07;ST29;ST03;ST21;ST25;ST19,2025-11-06,2025-11-26,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02692,STOCKOUT_RISK,ST04;ST16;ST02;ST11;ST09;ST17;ST27;ST24;ST03,2025-11-25,2025-12-17,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00169,STOCKOUT_RISK,ST08;ST29;ST13;ST20;ST17;ST26;ST07;ST28;ST05;ST16;ST12;ST22;ST11;ST27;ST30;ST09;ST10,2025-10-21,2025-11-18,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04191,STOCKOUT_RISK,ST09;ST25;ST05;ST30;ST15;ST29;ST21;ST24;ST26;ST04;ST16;ST14,2025-11-01,2025-11-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02740,STOCKOUT_RISK,ST04;ST11;ST27;ST01;ST22;ST16;ST23;ST24;ST02;ST13;ST29;ST06;ST07;ST09;ST30;ST19;ST20,2025-10-19,2025-10-31,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00062,STOCKOUT_RISK,ST13;ST20;ST01;ST21;ST08;ST11;ST29;ST19;ST10,2025-12-09,2025-12-31,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03030,STOCKOUT_RISK,ST29;ST13;ST14;ST08;ST28;ST15;ST12;ST23;ST21;ST04;ST25;ST17;ST09;ST30;ST01;ST22;ST05,2025-11-08,2025-11-22,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02538,STOCKOUT_RISK,ST11;ST25;ST05;ST08;ST24;ST13;ST26;ST12;ST19;ST09;ST10;ST27;ST28;ST16,2025-11-18,2025-12-06,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01507,STOCKOUT_RISK,ST20;ST29;ST28;ST24;ST17;ST18;ST05;ST03;ST19;ST13;ST06;ST25;ST08;ST02;ST04,2025-11-18,2025-12-15,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03800,STOCKOUT_RISK,ST24;ST19;ST21;ST06;ST25;ST15;ST02;ST08;ST01;ST20;ST29,2025-12-13,2025-12-25,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02660,STOCKOUT_RISK,ST18;ST06;ST12;ST10;ST13;ST04;ST08;ST15;ST03;ST23;ST05;ST09;ST29;ST27;ST17,2025-11-11,2025-12-06,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04032,STOCKOUT_RISK,ST26;ST27;ST10;ST01;ST06;ST19;ST22;ST09;ST17;ST20;ST08;ST28;ST02;ST11;ST23,2025-11-19,2025-12-06,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00500,STOCKOUT_RISK,ST16;ST06;ST23;ST27;ST10;ST05;ST01;ST13;ST15;ST21;ST19;ST17;ST20,2025-10-24,2025-11-16,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01677,STOCKOUT_RISK,ST08;ST05;ST27;ST16;ST30;ST10;ST23;ST25;ST17;ST11;ST22,2025-11-15,2025-11-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00774,STOCKOUT_RISK,ST10;ST05;ST07;ST06;ST04;ST29;ST20;ST08;ST23;ST17;ST22;ST01,2025-10-18,2025-11-16,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02648,STOCKOUT_RISK,ST05;ST19;ST06;ST04;ST23;ST30;ST13;ST14;ST26;ST01;ST21;ST18,2025-11-16,2025-12-14,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04105,STOCKOUT_RISK,ST18;ST14;ST24;ST22;ST19;ST01;ST23;ST13;ST07;ST02;ST29,2025-10-26,2025-11-05,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01414,STOCKOUT_RISK,ST18;ST05;ST21;ST27;ST03;ST13;ST17;ST25;ST26;ST04;ST19;ST29;ST07;ST20;ST01;ST15;ST08;ST10,2025-11-16,2025-11-27,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02526,STOCKOUT_RISK,ST19;ST18;ST23;ST26;ST06;ST10;ST15;ST03;ST07;ST13;ST20;ST16;ST09;ST25;ST22;ST01,2025-11-24,2025-12-12,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03702,STOCKOUT_RISK,ST10;ST11;ST14;ST07;ST03;ST16;ST22;ST24;ST02;ST04,2025-10-27,2025-11-11,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01578,STOCKOUT_RISK,ST15;ST29;ST27;ST07;ST19;ST18;ST03;ST21;ST14;ST10;ST17;ST13;ST22;ST28;ST30;ST24;ST06;ST09,2025-10-29,2025-11-27,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01030,STOCKOUT_RISK,ST02;ST12;ST10;ST26;ST17;ST20;ST24;ST19;ST18;ST11;ST29;ST01;ST22;ST14;ST30,2025-11-22,2025-12-15,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03053,STOCKOUT_RISK,ST05;ST28;ST03;ST30;ST24;ST21;ST26;ST19;ST29;ST09,2025-12-05,2025-12-20,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04453,STOCKOUT_RISK,ST09;ST05;ST11;ST15;ST27;ST06;ST10;ST25;ST07;ST17;ST29;ST03;ST12;ST16;ST02;ST26,2025-10-23,2025-11-05,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01048,STOCKOUT_RISK,ST29;ST06;ST26;ST23;ST01;ST14;ST21;ST11;ST16;ST08;ST20;ST28;ST12,2025-12-13,2025-12-24,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00692,STOCKOUT_RISK,ST27;ST03;ST13;ST05;ST06;ST10;ST15;ST11;ST21;ST17;ST02;ST23;ST16;ST25;ST01;ST14;ST18;ST19,2025-12-14,2025-12-24,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00263,STOCKOUT_RISK,ST22;ST11;ST06;ST12;ST29;ST18;ST30;ST14;ST21;ST17;ST03;ST05;ST20;ST23;ST24;ST13;ST25,2025-10-26,2025-11-07,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02840,STOCKOUT_RISK,ST22;ST23;ST04;ST13;ST18;ST07;ST25;ST30;ST17;ST15;ST28;ST01;ST27;ST26;ST19;ST11;ST14;ST09,2025-11-23,2025-12-09,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04627,STOCKOUT_RISK,ST24;ST08;ST10;ST27;ST02;ST13;ST07;ST28;ST22,2025-10-25,2025-11-04,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02247,STOCKOUT_RISK,ST09;ST10;ST25;ST28;ST01;ST19;ST07;ST06;ST29;ST02;ST03;ST22;ST16;ST13;ST18,2025-11-25,2025-12-18,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04318,STOCKOUT_RISK,ST22;ST19;ST02;ST05;ST26;ST04;ST06;ST30;ST14;ST12;ST20,2025-10-19,2025-10-29,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00484,STOCKOUT_RISK,ST27;ST03;ST26;ST21;ST28;ST16;ST19;ST25;ST06;ST13;ST11;ST12;ST02;ST09;ST20;ST23;ST22;ST15,2025-11-04,2025-11-24,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01317,STOCKOUT_RISK,ST25;ST04;ST21;ST29;ST24;ST17;ST28;ST05;ST02;ST14;ST23;ST13;ST27,2025-11-30,2025-12-11,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03546,STOCKOUT_RISK,ST27;ST29;ST28;ST03;ST11;ST09;ST22;ST10;ST16;ST30;ST01;ST19;ST17;ST20,2025-11-15,2025-12-09,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01993,STOCKOUT_RISK,ST20;ST23;ST17;ST19;ST25;ST30;ST04;ST03;ST21;ST11,2025-11-26,2025-12-18,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02449,STOCKOUT_RISK,ST13;ST12;ST05;ST25;ST20;ST07;ST03;ST19;ST17;ST26;ST24;ST10;ST16;ST01;ST29,2025-12-04,2025-12-27,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01164,STOCKOUT_RISK,ST21;ST29;ST12;ST04;ST03;ST22;ST18;ST01;ST25;ST11;ST10;ST02,2025-11-23,2025-12-16,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02340,STOCKOUT_RISK,ST06;ST17;ST09;ST03;ST29;ST02;ST21;ST23;ST24;ST28;ST16;ST04;ST07;ST12;ST13,2025-11-29,2025-12-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01152,STOCKOUT_RISK,ST24;ST06;ST15;ST28;ST05;ST27;ST17;ST23;ST01;ST25;ST02;ST10;ST12;ST09,2025-12-06,2025-12-31,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04245,STOCKOUT_RISK,ST14;ST11;ST19;ST21;ST28;ST24;ST03;ST20;ST16;ST02;ST10;ST27;ST04;ST17;ST05;ST26;ST06,2025-10-25,2025-11-16,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01009,STOCKOUT_RISK,ST17;ST03;ST22;ST09;ST28;ST21;ST23;ST04;ST12;ST08;ST16;ST25;ST30;ST26,2025-11-24,2025-12-23,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01784,STOCKOUT_RISK,ST23;ST30;ST17;ST12;ST26;ST15;ST04;ST16;ST18;ST20;ST01;ST13,2025-11-20,2025-12-13,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02531,STOCKOUT_RISK,ST16;ST14;ST06;ST21;ST30;ST24;ST15;ST17;ST28;ST18;ST25;ST22;ST05;ST12;ST03;ST11,2025-12-06,2025-12-30,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00020,STOCKOUT_RISK,ST13;ST22;ST04;ST01;ST15;ST28;ST25;ST11;ST12;ST26;ST17;ST05;ST03;ST08;ST18,2025-11-28,2025-12-22,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00539,STOCKOUT_RISK,ST20;ST03;ST21;ST27;ST02;ST07;ST24;ST17;ST23;ST05;ST13;ST15;ST04;ST08;ST01;ST11;ST14;ST22,2025-10-26,2025-11-21,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02176,STOCKOUT_RISK,ST14;ST09;ST26;ST22;ST15;ST23;ST01;ST16;ST04;ST12;ST30;ST10;ST29;ST11;ST07;ST24;ST18;ST19,2025-11-17,2025-12-15,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03323,STOCKOUT_RISK,ST23;ST08;ST10;ST21;ST17;ST03;ST22;ST26;ST25,2025-12-02,2025-12-18,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00929,STOCKOUT_RISK,ST12;ST09;ST03;ST08;ST30;ST15;ST23;ST16;ST18;ST14,2025-12-02,2025-12-30,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00976,STOCKOUT_RISK,ST27;ST13;ST23;ST21;ST29;ST18;ST19;ST25;ST16;ST03;ST14;ST28;ST04;ST10;ST01;ST09;ST11;ST02,2025-12-09,2025-12-23,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00628,STOCKOUT_RISK,ST26;ST18;ST03;ST19;ST25;ST13;ST30;ST21;ST29;ST06;ST04;ST17;ST07;ST12;ST09;ST20,2025-10-30,2025-11-09,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02462,STOCKOUT_RISK,ST15;ST10;ST03;ST02;ST12;ST20;ST09;ST28;ST08;ST11;ST30;ST16;ST21;ST27;ST24;ST22;ST14,2025-10-29,2025-11-11,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02543,STOCKOUT_RISK,ST21;ST04;ST06;ST07;ST18;ST27;ST14;ST01;ST17;ST24;ST23;ST26;ST05;ST13;ST20,2025-12-02,2025-12-25,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04041,STOCKOUT_RISK,ST17;ST20;ST29;ST10;ST27;ST02;ST28;ST24;ST06;ST22;ST25;ST14;ST08;ST04;ST03,2025-10-19,2025-11-08,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02355,STOCKOUT_RISK,ST19;ST22;ST30;ST25;ST14;ST09;ST05;ST01;ST07;ST28;ST10;ST11;ST17;ST18;ST27;ST20;ST03;ST24,2025-10-21,2025-11-01,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00177,STOCKOUT_RISK,ST30;ST25;ST22;ST08;ST28;ST02;ST06;ST27;ST21;ST24;ST12;ST23;ST11,2025-12-03,2025-12-22,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04016,STOCKOUT_RISK,ST21;ST19;ST12;ST16;ST27;ST20;ST29;ST23;ST04;ST03;ST13;ST28;ST18;ST10;ST22;ST25;ST01,2025-12-13,2025-12-24,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01138,STOCKOUT_RISK,ST10;ST16;ST07;ST18;ST21;ST23;ST06;ST22;ST27;ST01;ST20;ST08,2025-10-31,2025-11-16,Top-selling SKU (by observed volume); injected recent stockout window.
SKU01363,STOCKOUT_RISK,ST30;ST23;ST08;ST26;ST21;ST09;ST15;ST12;ST11;ST14,2025-10-31,2025-11-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02155,STOCKOUT_RISK,ST19;ST22;ST12;ST10;ST13;ST08;ST27;ST21;ST11;ST03;ST17;ST24;ST14;ST05;ST04,2025-12-03,2025-12-14,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00974,STOCKOUT_RISK,ST30;ST09;ST23;ST05;ST13;ST10;ST25;ST20;ST11,2025-11-01,2025-11-30,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03535,STOCKOUT_RISK,ST27;ST26;ST24;ST22;ST12;ST15;ST10;ST09;ST08;ST21;ST19;ST07;ST17,2025-10-18,2025-11-13,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00369,STOCKOUT_RISK,ST04;ST10;ST27;ST05;ST29;ST28;ST19;ST30;ST14;ST09,2025-10-17,2025-11-04,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02482,STOCKOUT_RISK,ST14;ST06;ST21;ST29;ST28;ST24;ST26;ST30;ST02;ST16;ST15,2025-12-12,2025-12-26,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00996,STOCKOUT_RISK,ST08;ST11;ST12;ST24;ST09;ST02;ST25;ST01;ST18;ST17;ST23;ST26;ST16;ST22;ST28;ST14;ST15,2025-10-21,2025-11-17,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00050,STOCKOUT_RISK,ST07;ST25;ST29;ST06;ST13;ST10;ST04;ST22;ST30;ST28;ST27,2025-12-17,2025-12-28,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00363,STOCKOUT_RISK,ST18;ST27;ST10;ST05;ST07;ST30;ST03;ST20;ST15;ST13;ST22;ST17;ST11;ST19;ST06;ST25;ST29,2025-10-29,2025-11-21,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03425,STOCKOUT_RISK,ST05;ST13;ST03;ST25;ST02;ST22;ST06;ST04;ST15;ST09;ST24;ST17;ST16;ST19;ST30;ST18,2025-12-04,2025-12-22,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04562,STOCKOUT_RISK,ST29;ST05;ST10;ST09;ST15;ST06;ST08;ST01;ST20;ST25;ST11;ST19;ST22;ST18;ST30,2025-11-26,2025-12-10,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03353,STOCKOUT_RISK,ST05;ST25;ST28;ST14;ST04;ST26;ST19;ST22;ST18,2025-12-04,2025-12-29,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02640,STOCKOUT_RISK,ST18;ST12;ST22;ST19;ST08;ST14;ST24;ST17;ST13;ST25;ST23;ST28;ST09;ST20;ST15,2025-11-18,2025-12-15,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02401,STOCKOUT_RISK,ST03;ST14;ST23;ST26;ST19;ST15;ST18;ST01;ST13,2025-10-25,2025-11-23,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03063,STOCKOUT_RISK,ST06;ST15;ST26;ST24;ST30;ST08;ST07;ST25;ST29;ST18;ST01;ST09;ST17;ST14;ST03,2025-12-03,2025-12-29,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00254,STOCKOUT_RISK,ST24;ST25;ST02;ST08;ST12;ST16;ST10;ST18;ST03;ST15;ST14;ST07;ST21;ST26;ST22;ST17,2025-12-04,2025-12-21,Top-selling SKU (by observed volume); injected recent stockout window.
SKU00728,STOCKOUT_RISK,ST11;ST27;ST21;ST18;ST09;ST30;ST03;ST23;ST08;ST10;ST01;ST22;ST07;ST12;ST19;ST05;ST16;ST15,2025-11-21,2025-12-14,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03743,STOCKOUT_RISK,ST29;ST08;ST10;ST21;ST26;ST20;ST27;ST28;ST04;ST07;ST11;ST12;ST02;ST06;ST17,2025-11-08,2025-12-07,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03578,STOCKOUT_RISK,ST20;ST05;ST24;ST18;ST14;ST30;ST27;ST26;ST19;ST03;ST01;ST17;ST29;ST12;ST25;ST06,2025-12-08,2025-12-19,Top-selling SKU (by observed volume); injected recent stockout window.
SKU03259,STOCKOUT_RISK,ST12;ST09;ST06;ST01;ST20;ST15;ST11;ST02;ST22;ST05;ST25;ST10,2025-11-05,2025-11-25,Top-selling SKU (by observed volume); injected recent stockout window.
SKU02776,STOCKOUT_RISK,ST29;ST15;ST21;ST28;ST01;ST09;ST25;ST04;ST02;ST20;ST07;ST22;ST27;ST26,2025-10-18,2025-11-02,Top-selling SKU (by observed volume); injected recent stockout window.
SKU04046,STOCKOUT_RISK,ST06;ST21;ST08;ST27;ST09;ST14;ST15;ST19;ST16;ST24;ST23;ST20;ST03;ST22;ST25;ST02;ST30;ST01,2025-10-18,2025-10-30,Top-selling SKU (by observed volume); injected recent stockout window.
